budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
NA,NA,NA,NA,114634
23457200,24572233,27290500,28084600,26072000
12127206,NA,13553487,14287508,13213000
NA,25084981,40498754,27528754,36508204
NA,NA,4e+06,4e+06,6678181
NA,NA,6661719,6551519,9732571
NA,NA,3202202,3333483,NA
21633181,61800473,NA,NA,97996313
NA,NA,NA,NA,3470000
26762129,29155371,30694375,28960496,27632881
2.6e+07,37696278,38737094,41131727,38746000
NA,4200000,4938000,4810252,0
NA,NA,2e+06,2e+06,6161000
NA,NA,NA,NA,9866000
1.5e+07,16581917,18050021,18237881,24864210
NA,NA,1100000,1100000,1628954
NA,NA,1458000,1612000,1632216
NA,NA,13894879,13845647,18127814
NA,NA,5215100,5369870,5670495
NA,NA,8289466,7994250,7924009
NA,7426194,7777710,8044299,11151470
5700000,NA,NA,NA,7105000
1.4e+07,18567348,NA,NA,34832963
18290372,20471210,24877758,25853621,24705184
NA,20143105,21225841,22679535,22738000
19600000,21190135,24605915,24736215,24712530
NA,NA,4666888,4836113,5718773
7278117,8659054,9422386,9895727,9168494
NA,NA,5099268,5788970,6914637
NA,1368260,800612,1069000,1762772
NA,NA,13344195,14057972,21570630
NA,NA,185000,185000,165739
NA,NA,1407000,1510000,1742974
NA,NA,NA,NA,51721
NA,NA,125253,204332,129970
NA,1300000,1278267,1295053,1209000
8310000,9100000,NA,NA,10173539
NA,NA,16930375,16915412,16649000
NA,NA,9122670,9168607,8702000
NA,4649996,NA,NA,7780442
NA,NA,14379913,14771081,14380000
35499023,43168288,44143885,46132174,55200000
NA,6804012,7300000,7600000,11281303
NA,NA,3272570,5284586,3985503
NA,NA,NA,NA,2210865
NA,NA,1e+05,1e+05,136770
NA,NA,NA,NA,129098
NA,NA,350000,360000,NA
NA,NA,NA,NA,155869
NA,NA,5400000,5400000,NA
NA,NA,101000,103500,91702
NA,108500,140000,145000,154471
55867024,67900001,72330231,77342501,82576000
NA,NA,3124577,3226870,2572280
34395830,3.4e+07,46534881,48441547,50200000
NA,NA,NA,NA,1982316
NA,NA,1250195,1280353,1683322
NA,NA,4875826,5036782,5115581
NA,NA,358950,326900,261435
NA,NA,NA,NA,896
13896203,NA,NA,NA,15145280
NA,NA,11421900,12201200,18259000
NA,NA,NA,NA,10230320
NA,NA,8691239,8799563,8885000
NA,NA,8694402,9700000,0
NA,NA,1929043,2266150,4889457
27305822,34635500,35280000,36600000,39299000
NA,NA,4181210,4553210,4789607
NA,NA,2348269,2927042,2438951
NA,NA,3942500,4199400,5779161
NA,NA,1200000,1300000,1450094
NA,NA,1809720,2173552,2260774
NA,40000,56000,50000,42745
NA,740000,793615,817423,1163600
NA,NA,2e+05,2e+05,235023
NA,NA,2338000,2449160,2973207
NA,NA,265000,285000,NA
NA,NA,3100000,3100000,0
NA,9663800,9600000,1e+07,9633000
NA,NA,1e+06,1100000,2358927
NA,NA,8478101,8651005,8277000
NA,NA,NA,NA,NA
8e+06,NA,NA,NA,36920000
NA,NA,NA,NA,954212
NA,NA,385000,390000,203225
15100000,18118163,18960889,19530881,40025519
NA,NA,344344,319093,283568
NA,NA,798007,843340,779802
125950,NA,237070,222153,192153
20287717,26693683,28240407,28123700,38806874
NA,NA,1085700,1218900,NA
NA,NA,525000,550000,486559
NA,923601,977575,1087838,1266637
NA,NA,1700000,1750000,2314402
NA,6e+06,6800000,7e+06,6224000
3500000,NA,2870799,2994180,2752462
NA,NA,NA,NA,1575370
NA,NA,809000,809000,353169
NA,67293,NA,NA,84618
NA,NA,1037650,985924,997169
NA,150000,60000,60000,41335
NA,NA,NA,NA,680539
NA,27200726,25911032,26573482,43824000
NA,310000,808980,811580,800365
1e+06,NA,1200000,1300000,1288631
NA,NA,1787139,1679334,1712464
NA,NA,2e+05,250000,30422
NA,NA,5090045,5237084,29056301
NA,NA,1905000,1996000,2928171
NA,NA,NA,NA,2533590
NA,1200000,1338865,1607436,1249040
NA,48565,NA,NA,52431
3.7e+07,45500000,NA,NA,47906322
NA,NA,NA,NA,557287
NA,NA,2900000,3100000,3000081
NA,NA,940000,940000,862888
NA,NA,NA,NA,NA
NA,NA,857250,859450,809259
NA,NA,95000,95000,81213
NA,NA,1e+05,1e+05,71026
NA,NA,8e+06,8e+06,11342000
NA,NA,NA,NA,168917
NA,NA,NA,NA,254646
1500000,1500000,1523125,1847550,1520451
NA,NA,825200,828140,1287405
NA,NA,568335,665935,588650
NA,NA,24557113,28156990,27766997
NA,NA,7413100,7912000,7133159
3e+07,54629134,58710861,60039397,61100000
11415400,NA,NA,NA,14355000
1800000,NA,2298200,2208350,2451795
NA,NA,2375855,2426404,2200021
45833351,5.4e+07,60892000,64232000,59826000
NA,NA,NA,NA,83999
1250254874,1384510306,1189748797,1033570821,1.9e+09
NA,NA,NA,NA,596319
5.1e+07,NA,61246739,64939930,58525000
NA,1748319,1796903,1802990,1303000
9386732,10392754,10994952,11455265,10487000
8726440,10630523,NA,NA,17448000
3897464,NA,7223575,6348000,8912000
2871461,NA,NA,NA,2931000
NA,NA,9e+06,9e+06,8911000
NA,NA,NA,NA,NA
NA,NA,NA,NA,418650
NA,NA,605800,622000,NA
17799051,19217310,23141150,25323000,22684000
NA,13717856,16619322,17399583,16538000
NA,NA,6255568,6727147,5620000
NA,NA,3066502,3408967,3970478
NA,NA,1980280,1980280,3122000
NA,NA,3e+05,3e+05,492425
NA,NA,5070397,5277710,5264000
870000,949688,1e+06,1e+06,1114298
439000,NA,NA,NA,875870
NA,NA,2500000,2500000,5695000
1.7e+07,12891280,12570992,12341570,NA
2.4e+07,2.5e+07,NA,NA,25676000
NA,NA,3500000,3347430,3058000
NA,NA,598300,598300,350000
NA,NA,239575,224745,NA
NA,NA,385000,390000,NA
NA,NA,723226,745595,1349409
11480291,12092863,11965351,12951935,13005000
249236,NA,50000,50000,349750
11001222,12795981,NA,NA,16766000
NA,NA,4608943,4805123,2708000
NA,NA,3436125,3545300,3067000
NA,NA,1300000,1300000,1350000
NA,NA,NA,NA,25500
11428229,10682404,12180000,12650000,12387000
31370703,32849736,NA,NA,45739000
NA,1956200,2429900,2548400,2388000
14021750,16839500,19090000,19514100,17342000
861538,NA,NA,NA,1029000
31980986,33605876,33816076,36738194,29356000
NA,NA,586628,600859,612106
10401007,12402017,1.4e+07,14500000,13042000
NA,NA,180000,180000,NA
233065051,NA,233043194,225685143,2.65e+08
NA,NA,1340387,1409918,1415000
NA,NA,84773,85004,73000
NA,NA,4e+05,4e+05,NA
490000,NA,485850,536025,NA
NA,NA,NA,NA,NA
NA,NA,761225,760717,NA
7e+05,NA,864452,912167,913000
NA,NA,707600,670500,NA
NA,NA,140000,140000,NA
NA,NA,80000,80000,NA
NA,200541,180000,185000,NA
NA,NA,285000,275000,NA
1.6e+07,18963536,24639000,27879000,24158000
NA,NA,261000,279000,NA
NA,5200000,5443700,5800000,NA
NA,NA,5100000,5269646,4602000
21806788,24600000,29067583,31047851,NA
30924932,34721799,39644150,40044237,NA
NA,NA,1192174,1173735,NA
1300000,NA,1e+06,1200000,1786000
2431412,NA,2915420,3038782,2864000
NA,NA,86200,82000,NA
NA,NA,81000,89000,NA
NA,NA,2600000,2600000,2295000
341885,NA,NA,NA,NA
NA,179821,NA,NA,207000
NA,NA,785000,785000,NA
NA,NA,93023,98700,NA
NA,NA,282860,306760,234000
NA,NA,826837,863067,671000
75454073,82152162,89740122,92669548,102500000
NA,924450,1135500,1175711,1188000
NA,NA,NA,NA,278000
NA,NA,2e+05,204000,NA
NA,NA,4200000,4300000,3678000
26515252,37647372,40191451,40949962,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,598696,616055,421000
NA,NA,243500,243500,NA
NA,NA,1598378,1700000,1657000
NA,NA,482563,508435,NA
NA,NA,NA,NA,NA
NA,924500,970789,992079,1086000
NA,NA,NA,NA,NA
50109247,5.3e+07,60653745,59844806,256800000
NA,NA,2133000,2286089,2364000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,120460,115110,NA
7.7e+07,65788140,79504548,79640136,81600000
NA,NA,NA,NA,NA
739276,NA,NA,NA,NA
NA,NA,2e+05,2e+05,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
295000,NA,NA,NA,NA
NA,NA,323300,323330,NA
NA,6083441,7200000,7200000,4622000
240000,NA,160000,109540,NA
162700976,170712300,186728500,190578200,195900000
NA,665132,5e+05,5e+05,432000
1.4e+07,12645476,15817928,16514126,10744000
NA,1386091,1333333,1333333,1024000
NA,NA,32000,34000,29000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,802438,806436,NA
450000,NA,425000,465000,NA
NA,NA,5e+06,5e+06,3891000
NA,NA,NA,NA,1797000
NA,NA,5800000,5e+06,4104000
NA,NA,NA,NA,478000
NA,NA,15107557,17796584,13451000
NA,987000,NA,NA,1232000
NA,NA,3379073,3556420,NA
NA,899459,1062108,656730,1212148
NA,NA,393200,425255,339075
NA,NA,150000,150000,NA
NA,NA,3052800,3065600,NA
18735791,18320852,20866861,20981826,20106000
55134500,59251700,59966400,60588900,65103900
NA,NA,985400,985400,10133000
16400000,18222000,2.1e+07,21500000,21337000
NA,NA,NA,NA,51296
84402820,8.6e+07,93530380,93530380,95900000
NA,NA,557705,557705,61258
NA,NA,333000,NA,7873307
NA,NA,9600000,9600000,9932885
16800000,17614755,18768406,18845338,16164000
NA,NA,2e+06,2300000,3041658
2.7e+07,3.3e+07,35331489,36076394,104217000
NA,NA,NA,NA,3079000
NA,NA,171905,189710,146355
NA,NA,602000,630000,1398018
NA,NA,2525100,2726000,2884000
NA,NA,222626,191639,216793
13373071,12928313,12499796,12739390,18188000
17847227,17696336,18917000,18140000,14651000
NA,NA,293000,320000,397552
NA,NA,299950,249550,200334
2100000,NA,2480200,2656500,1556000
NA,NA,5281113,6096206,4261000
NA,NA,375000,375000,402094
NA,NA,NA,NA,76864
NA,NA,NA,NA,17760640
NA,NA,180000,180000,601769
NA,NA,7627452,7715426,NA
7008779,NA,9441686,10244943,9041000
NA,NA,NA,NA,NA
NA,NA,10487009,10548577,38674000
NA,NA,628732,651983,798833
NA,NA,NA,NA,2861400
NA,NA,3e+06,3316694,2846000
128528462,NA,212420440,218165630,217500000
NA,13192241,15342667,14808836,14289000
NA,NA,2538928,2703784,2690000
NA,NA,2883671,3169139,NA
NA,NA,1310000,1380000,1243246
NA,NA,1476347,1672634,1564000
15954000,2.5e+07,NA,NA,22579000
22245881,24577053,26041576,25527814,24586000
NA,NA,4400000,4500000,NA
11547172,13377670,NA,NA,18183000
985113,NA,1207703,1206124,NA
1400000,NA,1267297,1284835,1301000
NA,NA,1565514,1596824,NA
9931121,NA,13480900,14153383,NA
20400811,19421814,20460402,22389144,22692000
NA,NA,10076565,11378423,10602000
NA,NA,12624317,11372397,11047000
NA,NA,NA,NA,1939000
NA,NA,10999961,10705402,10411000
NA,NA,8500000,8900000,NA
NA,NA,148068,150331,NA
NA,NA,212655,216247,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
10192582,11152234,12476641,12553016,11381000
11730212,12000142,12215557,12517358,12229000
37090369,41254331,49973520,50527774,50744000
NA,7164542,8249429,7941056,7385000
NA,NA,7900000,8100000,7623000
NA,NA,932990,933161,904000
NA,NA,2881381,2977814,NA
4.5e+07,NA,60233075,61762945,42897000
9e+06,NA,NA,NA,14720000
8524520,NA,NA,NA,NA
NA,NA,2900000,3200000,NA
24028450,23202524,28661086,31006147,28101000
15503791,10474000,NA,NA,11375000
NA,NA,8164285,8584374,8402000
NA,NA,NA,NA,13573000
17047527,20037272,NA,NA,19689000
NA,NA,NA,NA,NA
14382569,14770076,17400021,15523252,19783000
NA,NA,3457676,3325124,2778000
13623218,15870231,20270701,19269085,18129000
NA,NA,NA,NA,NA
NA,1624167,2015000,2102712,NA
NA,15158031,16936644,17386626,15881000
NA,NA,4500000,4500000,5179000
NA,NA,4615905,4950926,4670000
NA,NA,5336655,5741474,5631000
NA,NA,8410044,8684429,8876000
2.2e+07,2.7e+07,NA,NA,30510000
NA,NA,NA,NA,4685000
1.8e+07,23500000,28646214,27507631,25086000
1818607,NA,2286049,2435904,NA
NA,NA,6e+06,6e+06,6013000
8724512,9874000,11200000,12700000,14685000
NA,NA,3758553,4028423,3688000
278780806,537938317,NA,NA,428200000
NA,1.1e+07,1.2e+07,1.2e+07,11681000
NA,NA,NA,NA,11830000
NA,NA,3695264,3730768,3675693
NA,NA,2100000,2200000,NA
NA,580000,540000,520000,NA
NA,985987,1197074,1197087,NA
2146132,NA,2968588,3235235,NA
NA,NA,NA,NA,NA
NA,NA,3474505,4261982,NA
NA,NA,2097479,2150494,NA
NA,NA,NA,NA,51457000
1.6e+07,17106460,20420773,19972307,19474000
NA,NA,1100000,1250000,NA
NA,NA,5e+05,525759,NA
NA,NA,1646000,1701000,NA
NA,NA,1786931,1960102,2444000
27840201,23808585,33555209,32052836,34285000
NA,NA,497304,592264,NA
NA,NA,1400000,1400000,NA
NA,NA,1179650,1098364,NA
NA,NA,NA,NA,NA
NA,NA,1200000,1250000,NA
NA,NA,12573864,12989970,13512000
NA,NA,21800000,22900000,22005000
4.1e+08,444183791,536376477,549959519,555100000
NA,NA,NA,NA,116000
13662981,NA,1.6e+07,17500000,17230000
NA,NA,508066,540405,NA
NA,NA,522745,529728,528000
NA,715000,822036,838813,NA
NA,NA,5400000,5500000,5853000
903662,NA,1165305,1254451,1254000
NA,NA,NA,NA,NA
NA,NA,762532,796434,711000
NA,248000,320817,318027,279000
1994000,NA,2142631,2177458,2080000
NA,NA,NA,NA,805000
NA,NA,NA,NA,NA
NA,421400,485787,511104,NA
NA,NA,1126570,1239838,NA
NA,359893,NA,NA,407000
NA,NA,NA,NA,67000
NA,NA,NA,NA,501000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,359000,359000,NA
NA,2864681,2328280,2341806,2433000
NA,NA,1698814,1947125,1892000
NA,NA,950000,985000,NA
NA,NA,NA,NA,1711000
NA,NA,1169899,1246965,1176000
NA,762110,840000,850000,857000
NA,NA,89508,92000,101000
NA,NA,225000,240000,227690
NA,NA,NA,NA,1780000
NA,NA,881150,890440,964970
NA,NA,345852,362111,373710
NA,NA,821000,889000,235440
NA,NA,2200000,2200000,1950
3800000,NA,4100000,4300000,1800000
NA,NA,NA,NA,227000
NA,NA,510000,520000,513930
NA,NA,1.8e+07,19300000,19024000
NA,NA,7474329,775427,3380000
NA,NA,540663,657574,735000
NA,NA,1161660,1136152,1060000
NA,NA,NA,NA,271560
21758778,1.1e+07,23380801,31112009,29659000
NA,NA,6e+05,6e+05,3730000
NA,NA,5826500,5868400,6e+06
NA,NA,7527371,7770328,7721000
NA,8e+05,707000,650000,804090
NA,NA,150000,160000,138690
NA,NA,390000,4e+05,393570
NA,108270,110000,110000,789200
NA,NA,165000,170000,159940
NA,NA,369025,342000,334880
33513551,37701800,43165282,45170051,4166000
NA,1400000,1498590,1599820,1507000
NA,1550000,1439524,1564720,1610000
NA,8673580,10675846,11142429,9887000
NA,NA,31946749,32524506,34088000
NA,NA,5494000,5558000,0
52547545,4.8e+07,56200108,55145968,54908000
NA,691476,791745,803855,788160
NA,NA,17161437,17161437,14421000
506957,NA,547000,611000,525770
NA,NA,265000,260000,3810000
NA,450000,545000,550000,2214000
NA,436722,491922,441922,419990
265000,472739,542378,584670,550130
NA,NA,3811837,3313300,3076000
NA,NA,350000,340000,971990
NA,NA,4821384,4806021,0
NA,NA,7e+06,7e+06,0
NA,NA,11500000,1.2e+07,11625000
32380010,3.4e+07,3.5e+07,3.7e+07,34384000
3.6e+07,41918361,44805423,45803959,44691000
NA,503544,6e+05,6e+05,811500
NA,NA,104000,104000,857000
NA,NA,1008388,977500,1760000
NA,NA,9843871,10023060,9227000
NA,NA,NA,NA,1242000
NA,NA,375000,375000,351110
4148317,NA,3846369,3699340,549700
NA,NA,7680640,8043830,7363000
NA,NA,16789347,17726578,0
3750000,NA,4010777,4359829,0
1.5e+07,19856611,21700000,22100000,20640000
NA,NA,359455,371065,348080
NA,NA,779415,779415,3200000
733249,NA,1003005,1003005,NA
24645965,NA,2.6e+07,26500000,28127000
19536473,24237560,NA,NA,27005000
NA,NA,485000,490000,432140
NA,NA,NA,NA,1750000
NA,NA,1635704,1680129,1486000
NA,3e+05,NA,NA,1290000
NA,6540916,7001955,7245189,5178000
NA,NA,1102427,1109986,973230
NA,NA,358112,389962,417000
NA,NA,2923760,2957355,2940000
NA,NA,363675,366900,334300
NA,NA,729977,726125,626000
NA,NA,NA,NA,316750
NA,NA,152623,153729,132700
NA,NA,NA,NA,116140
NA,NA,420309,433024,472570
NA,111000,85650,91300,817800
NA,NA,64000,71000,103000
NA,344500,450000,459000,56000
NA,NA,220000,225000,366540
NA,NA,1100000,1155000,1090000
24918785,26735219,29410860,30475172,29409000
NA,NA,NA,NA,2004000
2100000,NA,2443785,2366062,2240000
NA,NA,7318404,7822500,5670000
37700000,37897489,4.4e+07,45534446,44870000
267911971,310223891,330015742,328711027,3.41e+08
NA,NA,NA,NA,3223000
NA,NA,4550000,4637000,4690000
4e+06,NA,4e+06,4e+06,4880000
21271540,22942875,24500000,25500000,22444000
NA,NA,2230000,2260000,1228000
NA,NA,4500000,4600000,4308000
NA,NA,880000,9e+05,747710
11582000,NA,10200000,10808000,10355000
4009252,NA,4612884,4865703,4695000
NA,NA,0,0,0
NA,NA,8860520,9861840,3110000
NA,NA,5665812,5732271,5160000
NA,NA,3976112,4142497,4304000
NA,NA,NA,NA,2422000
NA,NA,NA,NA,NA
1549900,NA,2445800,2456700,3252000
NA,NA,606700,713700,789000
8300000,NA,11561288,12428732,12095000
NA,NA,525000,545000,NA
NA,NA,NA,NA,4467000
NA,NA,280000,290000,NA
NA,NA,26976602,27876141,30749000
NA,16711410,2e+07,2.2e+07,25940000
NA,NA,NA,NA,7264000
136098777,157797751,179849642,193001000,193100000
8998900,NA,9750357,10558485,12035000
NA,NA,14935375,15812779,12756000
NA,NA,8498725,9382870,9449000
NA,NA,NA,NA,13042000
NA,NA,1400000,1500000,NA
NA,NA,NA,NA,NA
NA,NA,1942912,2292960,NA
NA,NA,3e+05,3e+05,281000
1330832,NA,1500000,1500000,NA
610000,NA,935000,975000,NA
NA,NA,3400000,3400000,3211000
NA,NA,323767,412702,NA
20434579,23968823,30792695,31766545,29494000
NA,NA,NA,NA,NA
9.9e+07,109647000,100637713,102348093,128700000
NA,NA,1402663,1553515,1773000
NA,NA,3857092,4162669,NA
NA,280000,NA,NA,NA
NA,NA,852725,918052,904000
NA,NA,652309,652309,NA
NA,NA,596493,629251,NA
18280700,2.1e+07,24067792,24002379,28688000
NA,NA,1007000,1007000,NA
8e+06,7625014,9e+06,9e+06,9203000
13974500,17076900,19200000,19700000,19364000
2110850,NA,2937950,3102300,NA
NA,NA,2947780,3216440,NA
NA,NA,NA,NA,1046000
NA,NA,365000,385000,NA
NA,NA,362000,374000,NA
NA,NA,2860131,2987201,2418000
NA,330000,475000,480000,NA
NA,NA,250000,250000,25930
774000,NA,NA,NA,NA
19440925,21953455,22836305,26303913,19664000
13453928,18171728,19934161,19892024,17945000
NA,105000,110000,105000,NA
NA,NA,2614224,2905160,2391000
NA,NA,5649908,6394370,5666000
NA,NA,1813150,1866695,NA
NA,50000,60000,60000,NA
NA,NA,227000,228000,NA
NA,NA,421000,510000,73100000
NA,NA,NA,NA,NA
31833760,27151620,42605053,42179110,70145000
NA,NA,2212426,2046032,208000
NA,NA,1.1e+07,1.1e+07,17165000
25612039,27034885,32153547,31553037,39810000
19500000,19738636,22170138,22793832,22228000
NA,8504602,NA,NA,5689000
NA,NA,3e+05,3e+05,NA
NA,NA,420000,420000,47200
NA,NA,7e+06,7500000,6722000
NA,NA,8e+05,8e+05,840000
NA,NA,NA,NA,NA
NA,NA,2945545,2956345,4266000
NA,1051070,1606548,1820975,1341290
NA,NA,330790,365614,NA
NA,NA,556000,605000,758193
NA,NA,304970,329541,NA
NA,NA,NA,NA,NA
NA,1050000,885000,885000,897000
1015826,1048613,1057332,1112535,1012522
NA,NA,27049,35128,NA
NA,517145,NA,NA,614701
NA,NA,460000,464580,NA
NA,NA,187260,187260,NA
NA,NA,739555,759775,NA
NA,NA,519450,519450,485000
NA,NA,231648,224178,NA
NA,NA,250000,273000,NA
NA,NA,1520000,1520000,550501945
NA,NA,718404,718404,NA
NA,980306,1072477,1090600,1114667
NA,NA,235000,240000,1250760
NA,NA,NA,NA,NA
NA,85000,NA,NA,NA
284110,NA,2e+05,210000,NA
NA,NA,7500,7500,97541
NA,NA,222658,217544,NA
NA,NA,NA,NA,NA
697312,NA,6e+05,6e+05,NA
12185755,13210139,13925453,14722879,15027767
NA,18869320,20611514,20832982,21595000
NA,NA,14600445,14662175,13685000
NA,NA,NA,NA,NA
NA,NA,3042818,2858884,2732000
NA,NA,5700000,5700000,6153000
NA,NA,637000,647000,NA
NA,NA,4453288,4478060,4109000
2630811,NA,2767616,2790402,2422933
NA,NA,2604051,2472229,2602349
NA,NA,2e+06,2e+06,2003000
NA,NA,1075225,1289184,NA
NA,NA,48000,48000,NA
NA,40000,NA,NA,NA
NA,NA,10000,10000,NA
NA,NA,NA,NA,NA
NA,NA,2168185,2180437,2795000
NA,NA,550000,650000,NA
250000,NA,389100,309900,NA
196432911,232824751,225791018,232526404,239436000
131830464,NA,171426114,165105124,202215000
NA,NA,NA,NA,306000
NA,NA,3077412,3484411,3282000
NA,NA,949000,949000,NA
NA,NA,NA,NA,709000
11400000,11550292,NA,NA,NA
1.2e+07,NA,7700400,7727304,12304000
14992254,16123636,18662860,17781711,15504000
17876752,17276374,18500700,1.8e+07,16630000
41726645,NA,NA,NA,27990000
NA,NA,NA,NA,5140000
NA,NA,NA,NA,NA
NA,NA,7e+05,7e+05,NA
NA,NA,290500,3e+05,NA
9e+06,NA,10964199,11105472,19787000
NA,NA,3500000,3500000,4962000
NA,NA,294802,310500,2407000
NA,NA,NA,NA,831000
NA,NA,NA,NA,NA
NA,NA,5e+06,5e+06,5150000
NA,NA,788320,788320,NA
NA,NA,4756653,4756653,NA
NA,3809708,NA,NA,3680000
NA,1237821,1509675,1537070,1202000
NA,NA,1231154,1235091,394000
NA,NA,1200000,1200000,NA
NA,NA,2210210,2291569,2228000
NA,NA,18245121,19657090,19786000
NA,NA,1687184,1809189,1721000
NA,NA,550000,650000,501000
19290264,21360475,27017423,25925826,24868000
3e+05,NA,265000,285000,168000
NA,NA,NA,NA,NA
NA,NA,436800,485600,NA
NA,NA,183000,220000,NA
517485,NA,5e+05,5e+05,NA
NA,NA,140000,140000,NA
121748730,133280153,164729279,159838743,1.7e+08
NA,NA,233425,257500,295000
NA,NA,641000,738000,499000
38033450,45451242,55158134,56585576,46300000
NA,NA,NA,NA,6014000
NA,539000,650000,704127,398000
NA,250000,282742,264794,NA
NA,NA,9e+05,9e+05,1014000
NA,NA,NA,NA,1115000
14114960,NA,15556563,14622287,13197000
1.3e+07,14918383,17490045,18564747,19238000
NA,NA,4e+06,4e+06,13320689
NA,NA,2114467,2219564,3346130
NA,NA,NA,NA,636226
NA,NA,NA,NA,4068000
NA,NA,262400,277300,0
NA,NA,825000,801600,1459367
NA,1026217,1200000,1500000,1532436
2.1e+07,24719331,29927129,29240299,27615000
NA,NA,NA,NA,460939
16550240,18965049,23645524,25564211,27017000
NA,NA,1487071,1719529,152061
NA,683802,764903,914935,0
NA,NA,535167,576532,733588
NA,NA,1940957,2046347,2100197
10808576,12603340,13197042,13488157,12480000
NA,NA,902337,938617,804000
NA,NA,NA,NA,215610
NA,NA,235252,245252,271717
4e+07,51215035,5.6e+07,5.6e+07,56500000
NA,NA,2684114,2815541,7966936
NA,NA,7950000,8265000,6908000
1800000,NA,NA,NA,2037278
NA,NA,1130400,1211435,216682
59058720,54622490,67553520,65634500,68900000
1.5e+07,NA,17400000,16900000,16897000
61642450,65331850,78167060,78711550,80300000
NA,NA,1800000,1775000,0
NA,682304,988258,901370,759103
NA,1300000,1809360,1691500,1341000
1.6e+07,17470449,19933078,21509291,19402000
NA,NA,3709158,4036191,4697690
65355241,NA,78902453,79103152,83700000
22508577,24404445,29461133,30530732,32955000
168000,NA,NA,NA,14976790
NA,NA,625647,614962,0
NA,NA,1065000,1175200,0
1638065,1410110,1630360,1726285,1654394
NA,NA,NA,NA,1088305
NA,NA,NA,NA,3561000
NA,NA,2e+05,2e+05,0
NA,NA,341819,3e+05,474092
1693000,NA,NA,NA,1738000
8782590,8772191,9731418,8729074,9350000
NA,NA,3196298,3112970,3088000
NA,NA,NA,NA,283229
211316611,118723360,282288482,290203220,300900000
1690389,NA,2734953,2898017,3078031
NA,NA,6951447,7143859,6298402
NA,2949599,3660000,3642455,7035668
NA,NA,851439,847050,1488805
2.4e+07,17143405,36703021,35835622,36174000
NA,NA,2800000,2800000,4777000
NA,NA,188000,222000,6823680
16506144,14363339,14863150,15373969,16190000
12594282,13377095,16027754,16112146,13346550
NA,NA,6100000,6200000,7883429
2.2e+07,23862442,24501924,24454753,24714000
NA,NA,4e+05,318877,491919
NA,16698155,7932050,8160560,15649307
NA,766300,692395,786305,860000
NA,NA,696981,743621,951934
NA,NA,NA,NA,102416
NA,NA,1100000,1280000,7728315
NA,NA,1031006,1062553,811299
NA,NA,7324747,8626755,9409000
NA,NA,NA,NA,0
NA,NA,2500000,2653761,4929195
NA,574000,721000,809000,1027787
420000,NA,520000,560000,0
641401,NA,9e+05,9e+05,943966
NA,2676841,NA,NA,329000
NA,NA,2538100,2660770,2595500
88398000,93585958,105146996,109694903,116500000
2.1e+07,NA,2.4e+07,2.6e+07,25955000
NA,NA,4200000,4400000,9011593
NA,5153822,7021525,7777037,7324000
NA,NA,887747,896317,0
988690,NA,1442762,1379895,1238000
NA,NA,1100000,1200000,1719000
NA,12383090,15566674,15792480,14774000
NA,290000,4e+05,4e+05,419797
NA,12062979,13520138,14044769,19637000
1.4e+07,17483484,21348525,23807107,23350000
NA,175000,177650,219258,32091588
3091815,NA,4727100,4998650,4971000
NA,NA,1737693,1813607,1896000
NA,NA,5770205,5939255,5783000
NA,NA,935000,985000,1086000
170000,NA,NA,NA,203000
NA,NA,343884,353072,NA
1800000,NA,NA,NA,1430000
NA,NA,415758,436643,NA
NA,NA,112000,114000,NA
NA,NA,NA,NA,948000
NA,NA,582688,594693,NA
NA,NA,326798,324178,2109000
NA,557744,426620,484715,370000
NA,NA,NA,NA,NA
NA,5006553,6066903,6163484,11275000
NA,NA,NA,NA,NA
NA,699199,841841,898222,NA
NA,NA,271909,271909,NA
20570203,22001760,25285675,27376629,28832000
17672990,28521993,31793416,33134789,33508000
NA,NA,1251189,1257119,NA
2474062,NA,3060781,3373951,3215000
NA,724493,837529,860151,NA
2e+06,NA,1691761,1758582,NA
NA,474000,479000,530743,NA
10200000,NA,12597461,12830567,13349000
NA,NA,3200000,3300000,3288000
NA,NA,NA,NA,4526000
NA,NA,985000,1000718,NA
NA,NA,1329267,1308771,NA
NA,NA,NA,NA,NA
NA,8427831,9464348,9612413,9065000
NA,NA,778867,661616,NA
NA,NA,642682,704050,NA
NA,NA,599081,643705,NA
NA,NA,11647381,12152362,16027000
9136000,NA,NA,NA,10314000
NA,NA,741137,771446,NA
NA,NA,933141,1055384,NA
3.8e+07,2.9e+07,27801450,24802500,33649000
NA,NA,290838,298646,NA
NA,NA,30816762,31406652,4578000
1429000,NA,5747970,5995900,6464000
16076500,17372000,NA,NA,17084000
NA,4538450,NA,NA,NA
NA,NA,2425000,2610000,NA
NA,NA,3409085,3546073,3973000
NA,NA,3950000,4056503,NA
NA,NA,NA,NA,5435000
