budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
NA,NA,348233,351997,NA
NA,1800000,2384029,2420832,2512437
NA,NA,NA,NA,NA
NA,NA,140000,150000,NA
NA,NA,NA,NA,39472
NA,NA,275721,305432,NA
NA,NA,NA,NA,NA
NA,NA,6e+05,6e+05,1036065
NA,308650,303084,343578,338983
NA,NA,404751,451863,684853
NA,NA,1e+05,125000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,322520
NA,NA,NA,NA,NA
NA,NA,113186,115407,NA
NA,NA,350000,350000,NA
NA,NA,228900,294058,NA
NA,551201,325000,350000,559953
NA,NA,14000,15000,NA
NA,NA,71975,70975,NA
NA,NA,220000,220000,NA
NA,NA,250000,260000,NA
NA,NA,82000,92000,NA
NA,NA,68535,72535,NA
NA,NA,73600,73648,NA
NA,NA,169147,164153,NA
NA,NA,77280,86425,NA
NA,NA,48000,49000,NA
NA,NA,825000,850000,NA
NA,NA,125000,125000,NA
NA,219135,225811,226706,NA
NA,NA,98435,110930,NA
NA,NA,50000,50000,NA
NA,NA,59354375,64046268,66042827
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,34000,50000,NA
NA,NA,15000,15000,NA
NA,NA,175000,175000,NA
NA,NA,NA,NA,NA
NA,NA,44167,15759,NA
NA,NA,111452,160515,NA
NA,NA,85000,120000,NA
NA,NA,170000,170000,765100
NA,102316222,NA,NA,128500000
NA,NA,1271483,1154384,822000
NA,NA,NA,NA,1317000
1e+06,NA,2700000,2700000,1241000
10200000,1.3e+07,14760000,14760000,14337785
83233076,92974535,92775797,104619650,106672000
NA,NA,NA,NA,2802000
NA,2.5e+07,26819282,29417305,25597000
NA,NA,2e+05,2e+05,NA
NA,NA,NA,NA,NA
3e+07,51167568,57938351,58666065,61030000
1227423,NA,1313943,1307691,NA
NA,NA,20000,40000,NA
NA,NA,NA,NA,NA
45140014,45839826,49400000,49700000,46591000
NA,NA,6241526,7119647,6760000
NA,NA,7503019,7940729,4992000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,707505,777543,NA
NA,6400000,9151911,12996005,9045000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,1600000,1700000,2882000
NA,NA,845100,951540,757000
NA,NA,2600000,2800000,NA
NA,NA,517600,509400,487034
NA,NA,3500000,4e+06,4016000
NA,NA,NA,NA,NA
NA,NA,370000,370000,249000
NA,NA,NA,NA,NA
4e+06,NA,NA,NA,4912000
396000,NA,468900,468900,NA
NA,NA,1065323,1201028,NA
NA,NA,176000,179550,NA
NA,NA,1500000,1500000,NA
NA,492647,320100,355250,NA
NA,NA,NA,NA,2210000
NA,1e+07,10065130,11013820,10945000
NA,NA,166966,177623,NA
NA,723776.37,850000,850000,NA
17353101,20002851,2.7e+07,2.7e+07,22357000
NA,NA,4917674,4955436,4299000
NA,NA,395850,479550,NA
NA,9700000,11450608,11838317,11570000
NA,NA,1e+05,1e+05,NA
NA,NA,NA,NA,NA
NA,10352782,15432644,17265866,16055000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
39881825,39883501,50138599,54249714,52078000
NA,NA,227500,227500,NA
NA,NA,207389,210386,NA
NA,NA,2700000,2700000,1556000
NA,NA,NA,NA,210000
NA,NA,1e+05,130000,NA
11812534,NA,15250884,15014739,13176000
NA,NA,543000,543000,NA
NA,NA,7845565,8517854,6727000
NA,NA,4e+06,4e+06,3601000
342000,NA,373682,486428,438000
NA,NA,3e+05,340000,NA
NA,NA,886600,910800,918000
NA,NA,7662330,7843940,7888000
NA,NA,380000,388000,NA
NA,NA,NA,NA,165400000
NA,NA,750000,8e+05,1044000
NA,NA,3547809,3556184,3583000
2411378,NA,NA,NA,3896000
NA,3.1e+07,NA,NA,33114000
NA,NA,NA,NA,NA
NA,NA,393000,390000,NA
NA,NA,NA,NA,7668993
NA,NA,1700000,1700000,NA
389633,NA,515100,517515,NA
NA,30000,NA,NA,NA
NA,NA,12171145,13357090,NA
NA,NA,1376500,1370859,NA
NA,NA,1800000,2e+06,NA
NA,NA,3617844,3661849,NA
NA,70000,NA,NA,NA
NA,NA,867975,892476,NA
NA,NA,380000,390000,1980274
NA,NA,1630064,1661325,NA
9693714,11784557,12289780,14765959,NA
NA,NA,150000,150000,NA
NA,NA,1724740,1654410,NA
NA,NA,6e+05,644000,NA
9705143,11032708,12153310,12404707,NA
NA,NA,614544,633428,705435
NA,1.2e+07,13886787,14470880,1.4e+07
NA,NA,323116,332697,NA
NA,NA,1130344,1130344,NA
NA,10217889,9955211,10811053,NA
NA,NA,1565881,1590136,NA
NA,NA,81000,83814,NA
NA,NA,NA,NA,NA
NA,NA,943000,1010000,NA
NA,NA,NA,NA,NA
3927439,NA,4248121,4248121,NA
NA,NA,6512923,6554887,NA
50331498,70548138,77096919,78005577,80200891
19500000,21740987,23338228,23790270,NA
NA,NA,3520676,3935929,4187615
NA,NA,4879244,4987194,5478426
16779760,15438591,19896590,18427258,NA
NA,NA,371531,349199,NA
NA,NA,299000,315000,NA
1407635,NA,4929962,5055447,NA
NA,756095,475000,465000,NA
12330883,12499234,14610196,15161638,16682538
12190000,15500910,18732990,19347240,20016320
NA,NA,490580,538217,NA
650000,NA,1083736,1292378,NA
NA,NA,759783,798750,NA
NA,NA,189412,190702,NA
NA,NA,990000,990000,NA
NA,NA,NA,NA,NA
14900000,18386702,22451005,23279589,21331000
NA,NA,355000,367000,NA
NA,NA,2138358,2176555,NA
2e+07,20772160,29926300,25332700,26077000
NA,NA,20858393,20423324,19892000
64129770,74608847,91348133,84962353,88300000
6340000,NA,8719013,8681443,8609000
36254671,44176410,59942830,58715270,61700000
75355455,84076267,91060979,94394407,103300000
NA,NA,27412700,28035400,24628000
1.55e+08,168569326,198152493,206993517,2.26e+08
37585854,41926694,NA,NA,56415000
5.65e+08,567046552,721210722,745289020,786700000
65646399,98467766,109110143,110418268,155900000
19074100,24469400,28478300,30127300,32404000
72113777,77999428,99092331,98559390,109775000
156367016,167370180,181764789,193274430,186800000
5725250,NA,8500000,9100000,NA
1.2e+07,15494595,17531461,17181136,19721000
NA,NA,NA,NA,NA
4831488,NA,6e+06,6e+06,6901000
NA,32102583,37269852,37230796,10637000
NA,NA,5591650,5902260,4596000
58279325,62146931,74979834,70325114,77374364
47329306,61073246,93307865,96540000,101900000
55468090,68542845,81545000,82530000,82559708
2e+08,245535092,317032689,316555702,335800000
NA,NA,24937059,26015635,30023995
NA,NA,785272,945246,1333235
NA,NA,4433851,5876397,3692997
1046926,NA,1403388,1450490,15431929
NA,NA,39868196,49094667,44591924
41455037,NA,60534810,61064744,58860621
NA,5608271,7144000,7635000,8063561
15582013,75139584,71266250,66456204,65875264
NA,NA,2603545,2647076,2513945
NA,NA,1.2e+07,13650683,13662071
NA,NA,2900000,3100000,2850778
2.4e+07,NA,3.9e+07,4e+07,37775540
145552400,159372600,195181200,209496000,2.07e+08
NA,NA,2995398,3980013,3267186
NA,1961602,2058323,2147907,2286948
69631317,88461000,109350815,119972664,113600000
NA,NA,6875136,6528631,6982219
NA,NA,6242187,6356649,4575544
NA,NA,21800000,18800000,18633707
5700000,NA,6984076,6841793,9901904
11918324,NA,16421422,15389680,15544878
53037000,62058552,4856556,6725995,85231762
48738860,50440579,61215850,61792888,58257556
