AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
ludlow police department,IL,NA,NA,NA,NA,6826
martinsville police department,IL,NA,NA,NA,NA,114634
arlington heights police department,IL,23457200,24572233,27290500,28084600,26072000
bartlett police department,IL,12127206,NA,13553487,14287508,13213000
berwyn police department,IL,NA,25084981,40498754,27528754,36508204
bridgeview police department,IL,NA,NA,4e+06,4e+06,6678181
broadview police department,IL,NA,NA,6661719,6551519,9732571
sauk village police department,IL,NA,NA,3202202,3333483,NA
cicero police department,IL,21633181,61800473,NA,NA,97996313
crestwood police department,IL,NA,NA,NA,NA,3470000
schaumburg police department,IL,26762129,29155371,30694375,28960496,27632881
evanston police department,IL,2.6e+07,37696278,38737094,41131727,38746000
forest park police department,IL,NA,4200000,4938000,4810252,0
summit police department,IL,NA,NA,2e+06,2e+06,6161000
harvey police department,IL,NA,NA,NA,NA,9866000
skokie police department,IL,1.5e+07,16581917,18050021,18237881,24864210
thornton police department,IL,NA,NA,1100000,1100000,1628954
indian head park police department .,IL,NA,NA,1458000,1612000,1632216
lansing police department,IL,NA,NA,13894879,13845647,18127814
northfield police department,IL,NA,NA,5215100,5369870,5670495
north riverside police department,IL,NA,NA,8289466,7994250,7924009
oak forest police department,IL,NA,7426194,7777710,8044299,11151470
south holland police department,IL,5700000,NA,NA,NA,7105000
oak lawn police department,IL,1.4e+07,18567348,NA,NA,34832963
oak park police department,IL,18290372,20471210,24877758,25853621,24705184
orland park police department,IL,NA,20143105,21225841,22679535,22738000
palatine police department,IL,19600000,21190135,24605915,24736215,24712530
palos hills police department,IL,NA,NA,4666888,4836113,5718773
park forest police department,IL,7278117,8659054,9422386,9895727,9168494
river grove police department,IL,NA,NA,5099268,5788970,6914637
robbins police department,IL,NA,1368260,800612,1069000,1762772
wheeling police department,IL,NA,NA,13344195,14057972,21570630
palestine police department,IL,NA,NA,185000,185000,165739
robinson police department,IL,NA,NA,1407000,1510000,1742974
malta police department,IL,NA,NA,NA,NA,51721
kingston police department,IL,NA,NA,125253,204332,129970
clinton police department,IL,NA,1300000,1278267,1295053,1209000
bloomingdale police department,IL,8310000,9100000,NA,NA,10173539
downers grove police department,IL,NA,NA,16930375,16915412,16649000
glendale heights police department,IL,NA,NA,9122670,9168607,8702000
hinsdale police department,IL,NA,4649996,NA,NA,7780442
lombard police department,IL,NA,NA,14379913,14771081,14380000
naperville police department,IL,35499023,43168288,44143885,46132174,55200000
roselle police department,IL,NA,6804012,7300000,7600000,11281303
effingham police department,IL,NA,NA,3272570,5284586,3985503
vandalia police department,IL,NA,NA,NA,NA,2210865
royalton police department,IL,NA,NA,1e+05,1e+05,136770
shawneetown police department,IL,NA,NA,NA,NA,129098
mcleansboro police department,IL,NA,NA,350000,360000,NA
woodhull police department,IL,NA,NA,NA,NA,155869
mount vernon police department,IL,NA,NA,5400000,5400000,NA
elizabeth police department,IL,NA,NA,101000,103500,91702
goreville police department,IL,NA,108500,140000,145000,154471
aurora police department,IL,55867024,67900001,72330231,77342501,82576000
east dundee police department,IL,NA,NA,3124577,3226870,2572280
elgin police department,IL,34395830,3.4e+07,46534881,48441547,50200000
hampshire police department,IL,NA,NA,NA,NA,1982316
gilberts police department,IL,NA,NA,1250195,1280353,1683322
bourbonnais police department,IL,NA,NA,4875826,5036782,5115581
herscher police department,IL,NA,NA,358950,326900,261435
east galesburg police department,IL,NA,NA,NA,NA,896
gurnee police department,IL,13896203,NA,NA,NA,15145280
highland park police department,IL,NA,NA,11421900,12201200,18259000
lake forest police department,IL,NA,NA,NA,NA,10230320
libertyville police department,IL,NA,NA,8691239,8799563,8885000
north chicago police department,IL,NA,NA,8694402,9700000,0
round lake park police department,IL,NA,NA,1929043,2266150,4889457
waukegan police department,IL,27305822,34635500,35280000,36600000,39299000
lincolnshire police department,IL,NA,NA,4181210,4553210,4789607
kildeer police department,IL,NA,NA,2348269,2927042,2438951
lasalle police department,IL,NA,NA,3942500,4199400,5779161
marseilles police department,IL,NA,NA,1200000,1300000,1450094
mendota police department,IL,NA,NA,1809720,2173552,2260774
tonica police department,IL,NA,40000,56000,50000,42745
lawrenceville police department,IL,NA,740000,793615,817423,1163600
amboy police department,IL,NA,NA,2e+05,2e+05,235023
pontiac police department,IL,NA,NA,2338000,2449160,2973207
mount pulaski police department,IL,NA,NA,265000,285000,NA
macomb police department,IL,NA,NA,3100000,3100000,0
algonquin police department,IL,NA,9663800,9600000,1e+07,9633000
fox river grove police department,IL,NA,NA,1e+06,1100000,2358927
lake in the hills police department,IL,NA,NA,8478101,8651005,8277000
mccullom lake police department,IL,NA,NA,NA,NA,NA
mchenry police department,IL,8e+06,NA,NA,NA,36920000
richmond police department,IL,NA,NA,NA,NA,954212
prairie grove police department,IL,NA,NA,385000,390000,203225
bloomington police department,IL,15100000,18118163,18960889,19530881,40025519
heyworth police department,IL,NA,NA,344344,319093,283568
leroy police department,IL,NA,NA,798007,843340,779802
lexington police department,IL,125950,NA,237070,222153,192153
decatur police department,IL,20287717,26693683,28240407,28123700,38806874
mount zion police department,IL,NA,NA,1085700,1218900,NA
bunker hill police department,IL,NA,NA,525000,550000,486559
staunton police department,IL,NA,923601,977575,1087838,1266637
bethalto police department,IL,NA,NA,1700000,1750000,2314402
edwardsville police department,IL,NA,6e+06,6800000,7e+06,6224000
highland police department,IL,3500000,NA,2870799,2994180,2752462
maryville police department,IL,NA,NA,NA,NA,1575370
south roxana police department,IL,NA,NA,809000,809000,353169
worden police department,IL,NA,67293,NA,NA,84618
havana police department,IL,NA,NA,1037650,985924,997169
meredosia police department,IL,NA,150000,60000,60000,41335
sullivan police department,IL,NA,NA,NA,NA,680539
peoria police department,IL,NA,27200726,25911032,26573482,43824000
pinckneyville police department,IL,NA,310000,808980,811580,800365
chester police department,IL,1e+06,NA,1200000,1300000,1288631
sparta police department,IL,NA,NA,1787139,1679334,1712464
coulterville police department,IL,NA,NA,2e+05,250000,30422
east moline police department,IL,NA,NA,5090045,5237084,29056301
silvis police department,IL,NA,NA,1905000,1996000,2928171
caseyville police department,IL,NA,NA,NA,NA,2533590
freeburg police department,IL,NA,1200000,1338865,1607436,1249040
lenzburg police department,IL,NA,48565,NA,NA,52431
springfield police department,IL,3.7e+07,45500000,NA,NA,47906322
auburn police department,IL,NA,NA,NA,NA,557287
chatham police department,IL,NA,NA,2900000,3100000,3000081
riverton police department,IL,NA,NA,940000,940000,862888
williamsville police department,IL,NA,NA,NA,NA,NA
rochester police department,IL,NA,NA,857250,859450,809259
pleasant plains police department,IL,NA,NA,95000,95000,81213
findlay police department,IL,NA,NA,1e+05,1e+05,71026
pekin police department,IL,NA,NA,8e+06,8e+06,11342000
catlin police department,IL,NA,NA,NA,NA,168917
rossville police department,IL,NA,NA,NA,NA,254646
fairfield police department,IL,1500000,1500000,1523125,1847550,1520451
carmi police department,IL,NA,NA,825200,828140,1287405
morrison police department,IL,NA,NA,568335,665935,588650
bolingbrook police department,IL,NA,NA,24557113,28156990,27766997
frankfort police department,IL,NA,NA,7413100,7912000,7133159
joliet police department,IL,3e+07,54629134,58710861,60039397,61100000
romeoville police department,IL,11415400,NA,NA,NA,14355000
wilmington police department,IL,1800000,NA,2298200,2208350,2451795
manhattan police department,IL,NA,NA,2375855,2426404,2200021
rockford police department,IL,45833351,5.4e+07,60892000,64232000,59826000
washburn police department,IL,NA,NA,NA,NA,83999
chicago police department,IL,1250254874,1384510306,1189748797,1033570821,1.9e+09
berne police department,IN,NA,NA,NA,NA,596319
fort wayne police department,IN,5.1e+07,NA,61246739,64939930,58525000
greendale police department,IN,NA,1748319,1796903,1802990,1303000
muncie police department,IN,9386732,10392754,10994952,11455265,10487000
elkhart police department,IN,8726440,10630523,NA,NA,17448000
goshen police department,IN,3897464,NA,7223575,6348000,8912000
connersville police department,IN,2871461,NA,NA,NA,2931000
new albany police department,IN,NA,NA,9e+06,9e+06,8911000
rochester police department,IN,NA,NA,NA,NA,NA
oakland city police department,IN,NA,NA,NA,NA,418650
fairmount police department,IN,NA,NA,605800,622000,NA
carmel police department,IN,17799051,19217310,23141150,25323000,22684000
fishers police department,IN,NA,13717856,16619322,17399583,16538000
brownsburg police department,IN,NA,NA,6255568,6727147,5620000
avon police department,IN,NA,NA,3066502,3408967,3970478
new castle police department,IN,NA,NA,1980280,1980280,3122000
middletown police department,IN,NA,NA,3e+05,3e+05,492425
seymour police department,IN,NA,NA,5070397,5277710,5264000
portland police department,IN,870000,949688,1e+06,1e+06,1114298
new whiteland police department,IN,439000,NA,NA,NA,875870
vincennes police department,IN,NA,NA,2500000,2500000,5695000
gary police department,IN,1.7e+07,12891280,12570992,12341570,NA
hammond police department,IN,2.4e+07,2.5e+07,NA,NA,25676000
laporte police department,IN,NA,NA,3500000,3347430,3058000
long beach police department,IN,NA,NA,598300,598300,350000
kingsford heights police department,IN,NA,NA,239575,224745,NA
westville police department,IN,NA,NA,385000,390000,NA
alexandria police department,IN,NA,NA,723226,745595,1349409
anderson police department,IN,11480291,12092863,11965351,12951935,13005000
loogootee police department,IN,249236,NA,50000,50000,349750
bloomington police department,IN,11001222,12795981,NA,NA,16766000
crawfordsville police department,IN,NA,NA,4608943,4805123,2708000
martinsville police department,IN,NA,NA,3436125,3545300,3067000
tell city police department,IN,NA,NA,1300000,1300000,1350000
kouts police department,IN,NA,NA,NA,NA,25500
mishawaka police department,IN,11428229,10682404,12180000,12650000,12387000
south bend police department,IN,31370703,32849736,NA,NA,45739000
angola police department,IN,NA,1956200,2429900,2548400,2388000
lafayette police department,IN,14021750,16839500,19090000,19514100,17342000
tipton police department,IN,861538,NA,NA,NA,1029000
evansville police department,IN,31980986,33605876,33816076,36738194,29356000
clinton police department,IN,NA,NA,586628,600859,612106
terre haute police department,IN,10401007,12402017,1.4e+07,14500000,13042000
west terre haute police department,IN,NA,NA,180000,180000,NA
indianapolis metro police department,IN,233065051,NA,233043194,225685143,2.65e+08
iola police department,KS,NA,NA,1340387,1409918,1415000
moran police department,KS,NA,NA,84773,85004,73000
medicine lodge police department,KS,NA,NA,4e+05,4e+05,NA
hoisington police department,KS,490000,NA,485850,536025,NA
claflin police department,KS,NA,NA,NA,NA,NA
rose hill police department,KS,NA,NA,761225,760717,NA
baxter springs police department,KS,7e+05,NA,864452,912167,913000
clay center police department,KS,NA,NA,707600,670500,NA
udall police department,KS,NA,NA,140000,140000,NA
cherokee police department,KS,NA,NA,80000,80000,NA
chapman police department,KS,NA,200541,180000,185000,NA
elwood police department,KS,NA,NA,285000,275000,NA
lawrence police department,KS,1.6e+07,18963536,24639000,27879000,24158000
holcomb police department,KS,NA,NA,261000,279000,NA
dodge city police department,KS,NA,5200000,5443700,5800000,NA
newton police department,KS,NA,NA,5100000,5269646,4602000
olathe police department,KS,21806788,24600000,29067583,31047851,NA
overland park police department,KS,30924932,34721799,39644150,40044237,NA
roeland park police department,KS,NA,NA,1192174,1173735,NA
lansing police department,KS,1300000,NA,1e+06,1200000,1786000
mcpherson police department,KS,2431412,NA,2915420,3038782,2864000
galva police department,KS,NA,NA,86200,82000,NA
canton police department,KS,NA,NA,81000,89000,NA
coffeyville police department,KS,NA,NA,2600000,2600000,2295000
seneca police department,KS,341885,NA,NA,NA,NA
erie police department,KS,NA,179821,NA,NA,207000
norton police department,KS,NA,NA,785000,785000,NA
onaga police department,KS,NA,NA,93023,98700,NA
haven police department,KS,NA,NA,282860,306760,234000
scott city police department,KS,NA,NA,826837,863067,671000
wichita police department,KS,75454073,82152162,89740122,92669548,102500000
valley center police department,KS,NA,924450,1135500,1175711,1188000
clearwater police department,KS,NA,NA,NA,NA,278000
andale police department,KS,NA,NA,2e+05,204000,NA
liberal police department,KS,NA,NA,4200000,4300000,3678000
topeka police department,KS,26515252,37647372,40191451,40949962,NA
rossville police department,KS,NA,NA,NA,NA,NA
silver lake police department,KS,NA,NA,NA,NA,NA
goodland police department,KS,NA,NA,598696,616055,421000
saint john police department,KS,NA,NA,243500,243500,NA
wellington police department,KS,NA,NA,1598378,1700000,1657000
belle plaine police department,KS,NA,NA,482563,508435,NA
argonia police department,KS,NA,NA,NA,NA,NA
colby police department,KS,NA,924500,970789,992079,1086000
fredonia police department,KS,NA,NA,NA,NA,NA
kansas city police department,KS,50109247,5.3e+07,60653745,59844806,256800000
edwardsville police department,KS,NA,NA,2133000,2286089,2364000
columbia police department,KY,NA,NA,NA,NA,NA
bardwell police department,KY,NA,NA,NA,NA,NA
grayson police department,KY,NA,NA,NA,NA,NA
brownsville police department,KY,NA,NA,120460,115110,NA
lexington division of police,KY,7.7e+07,65788140,79504548,79640136,81600000
wayland police department,KY,NA,NA,NA,NA,NA
fulton police department,KY,739276,NA,NA,NA,NA
hickman police department,KY,NA,NA,2e+05,2e+05,NA
warsaw police department,KY,NA,NA,NA,NA,NA
clarkson police department,KY,NA,NA,NA,NA,NA
south shore police department,KY,NA,NA,NA,NA,NA
worthington police department,KY,295000,NA,NA,NA,NA
bellefonte police department,KY,NA,NA,323300,323330,NA
elizabethtown police department,KY,NA,6083441,7200000,7200000,4622000
evarts police department,KY,240000,NA,160000,109540,NA
louisville metro police department,KY,162700976,170712300,186728500,190578200,195900000
paintsville police department,KY,NA,665132,5e+05,5e+05,432000
covington police department,KY,1.4e+07,12645476,15817928,16514126,10744000
taylor mill police department,KY,NA,1386091,1333333,1333333,1024000
pippa passes police department,KY,NA,NA,32000,34000,29000
beattyville police department,KY,NA,NA,NA,NA,NA
whitesburg police department,KY,NA,NA,NA,NA,NA
greenville police department,KY,NA,NA,802438,806436,NA
beaver dam police department,KY,450000,NA,425000,465000,NA
somerset police department,KY,NA,NA,5e+06,5e+06,3891000
morehead police department,KY,NA,NA,NA,NA,1797000
georgetown police department,KY,NA,NA,5800000,5e+06,4104000
morganfield police department,KY,NA,NA,NA,NA,478000
bowling green police department,KY,NA,NA,15107557,17796584,13451000
williamsburg police department,KY,NA,987000,NA,NA,1232000
crowley police department,LA,NA,NA,3379073,3556420,NA
church point police department,LA,NA,899459,1062108,656730,1212148
oberlin police department,LA,NA,NA,393200,425255,339075
moreauville police department,LA,NA,NA,150000,150000,NA
deridder police department,LA,NA,NA,3052800,3065600,NA
bossier city police department,LA,18735791,18320852,20866861,20981826,20106000
shreveport police department,LA,55134500,59251700,59966400,60588900,65103900
greenwood police department,LA,NA,NA,985400,985400,10133000
lake charles police department,LA,16400000,18222000,2.1e+07,21500000,21337000
clayton police department,LA,NA,NA,NA,NA,51296
baton rouge police department,LA,84402820,8.6e+07,93530380,93530380,95900000
jeanerette police department,LA,NA,NA,557705,557705,61258
maringouin police department,LA,NA,NA,333000,NA,7873307
gretna police department,LA,NA,NA,9600000,9600000,9932885
kenner police department,LA,16800000,17614755,18768406,18845338,16164000
carencro police department,LA,NA,NA,2e+06,2300000,3041658
lafayette police department,LA,2.7e+07,3.3e+07,35331489,36076394,104217000
scott police department,LA,NA,NA,NA,NA,3079000
dubach police department,LA,NA,NA,171905,189710,146355
grambling police department,LA,NA,NA,602000,630000,1398018
walker police department,LA,NA,NA,2525100,2726000,2884000
french settlement police department,LA,NA,NA,222626,191639,216793
monroe police department,LA,13373071,12928313,12499796,12739390,18188000
alexandria police department,LA,17847227,17696336,18917000,18140000,14651000
glenmora police department,LA,NA,NA,293000,320000,397552
lutcher police department,LA,NA,NA,299950,249550,200334
eunice police department,LA,2100000,NA,2480200,2656500,1556000
opelousas police department,LA,NA,NA,5281113,6096206,4261000
arnaudville police department,LA,NA,NA,375000,375000,402094
village of palmetto police department,LA,NA,NA,NA,NA,76864
saint martinville police department,LA,NA,NA,NA,NA,17760640
baldwin police department,LA,NA,NA,180000,180000,601769
mandeville police department,LA,NA,NA,7627452,7715426,NA
hammond police department,LA,7008779,NA,9441686,10244943,9041000
newellton police department,LA,NA,NA,NA,NA,NA
houma police department,LA,NA,NA,10487009,10548577,38674000
erath police department,LA,NA,NA,628732,651983,798833
franklinton police department,LA,NA,NA,NA,NA,2861400
minden police department,LA,NA,NA,3e+06,3316694,2846000
new orleans police department,LA,128528462,NA,212420440,218165630,217500000
barnstable police department,MA,NA,13192241,15342667,14808836,14289000
orleans police department,MA,NA,NA,2538928,2703784,2690000
provincetown police department,MA,NA,NA,2883671,3169139,NA
williamstown police department,MA,NA,NA,1310000,1380000,1243246
dighton police department,MA,NA,NA,1476347,1672634,1564000
fall river police department,MA,15954000,2.5e+07,NA,NA,22579000
new bedford police department,MA,22245881,24577053,26041576,25527814,24586000
seekonk police department,MA,NA,NA,4400000,4500000,NA
taunton police department,MA,11547172,13377670,NA,NA,18183000
west tisbury police department,MA,985113,NA,1207703,1206124,NA
boxford police department,MA,1400000,NA,1267297,1284835,1301000
groveland police department,MA,NA,NA,1565514,1596824,NA
lawrence police department,MA,9931121,NA,13480900,14153383,NA
lynn police department,MA,20400811,19421814,20460402,22389144,22692000
methuen police department,MA,NA,NA,10076565,11378423,10602000
peabody police department,MA,NA,NA,12624317,11372397,11047000
rockport police department,MA,NA,NA,NA,NA,1939000
salem police department,MA,NA,NA,10999961,10705402,10411000
saugus police department,MA,NA,NA,8500000,8900000,NA
ashfield police department,MA,NA,NA,148068,150331,NA
buckland police department,MA,NA,NA,212655,216247,NA
charlemont police department,MA,NA,NA,NA,NA,NA
deerfield police department,MA,NA,NA,NA,NA,NA
chicopee police department,MA,10192582,11152234,12476641,12553016,11381000
holyoke police department,MA,11730212,12000142,12215557,12517358,12229000
springfield police department,MA,37090369,41254331,49973520,50527774,50744000
west springfield police department,MA,NA,7164542,8249429,7941056,7385000
westfield police department,MA,NA,NA,7900000,8100000,7623000
southampton police department,MA,NA,NA,932990,933161,904000
ayer police department,MA,NA,NA,2881381,2977814,NA
cambridge police department,MA,4.5e+07,NA,60233075,61762945,42897000
everett police department,MA,9e+06,NA,NA,NA,14720000
framingham police department,MA,8524520,NA,NA,NA,NA
littleton police department,MA,NA,NA,2900000,3200000,NA
lowell police department,MA,24028450,23202524,28661086,31006147,28101000
malden police department,MA,15503791,10474000,NA,NA,11375000
marlborough police department,MA,NA,NA,8164285,8584374,8402000
medford police department,MA,NA,NA,NA,NA,13573000
newton police department,MA,17047527,20037272,NA,NA,19689000
sherborn police department,MA,NA,NA,NA,NA,NA
somerville police department,MA,14382569,14770076,17400021,15523252,19783000
tyngsboro police department,MA,NA,NA,3457676,3325124,2778000
waltham police department,MA,13623218,15870231,20270701,19269085,18129000
wayland police department,MA,NA,NA,NA,NA,NA
avon police department,MA,NA,1624167,2015000,2102712,NA
brookline police department,MA,NA,15158031,16936644,17386626,15881000
canton police department,MA,NA,NA,4500000,4500000,5179000
foxboro police department,MA,NA,NA,4615905,4950926,4670000
franklin police department,MA,NA,NA,5336655,5741474,5631000
norwood police department,MA,NA,NA,8410044,8684429,8876000
quincy police department,MA,2.2e+07,2.7e+07,NA,NA,30510000
westwood police department,MA,NA,NA,NA,NA,4685000
brockton police department,MA,1.8e+07,23500000,28646214,27507631,25086000
carver police department,MA,1818607,NA,2286049,2435904,NA
hingham police department,MA,NA,NA,6e+06,6e+06,6013000
plymouth police department,MA,8724512,9874000,11200000,12700000,14685000
scituate police department,MA,NA,NA,3758553,4028423,3688000
boston police department,MA,278780806,537938317,NA,NA,428200000
chelsea police department,MA,NA,1.1e+07,1.2e+07,1.2e+07,11681000
revere police department,MA,NA,NA,NA,NA,11830000
winthrop police department,MA,NA,NA,3695264,3730768,3675693
blackstone police department,MA,NA,NA,2100000,2200000,NA
hardwick police department,MA,NA,580000,540000,520000,NA
harvard police department,MA,NA,985987,1197074,1197087,NA
holden police department,MA,2146132,NA,2968588,3235235,NA
north brookfield police department,MA,NA,NA,NA,NA,NA
southbridge police department,MA,NA,NA,3474505,4261982,NA
westminster police department,MA,NA,NA,2097479,2150494,NA
worcester police department,MA,NA,NA,NA,NA,51457000
annapolis police,MD,1.6e+07,17106460,20420773,19972307,19474000
denton police,MD,NA,NA,1100000,1250000,NA
ridgely police,MD,NA,NA,5e+05,525759,NA
taneytown police,MD,NA,NA,1646000,1701000,NA
brunswick police,MD,NA,NA,1786931,1960102,2444000
frederick city police,MD,27840201,23808585,33555209,32052836,34285000
cottage city police,MD,NA,NA,497304,592264,NA
district heights police,MD,NA,NA,1400000,1400000,NA
landover hills police,MD,NA,NA,1179650,1098364,NA
oxford police,MD,NA,NA,NA,NA,NA
st michaels police,MD,NA,NA,1200000,1250000,NA
salisbury city police,MD,NA,NA,12573864,12989970,13512000
ocean city police,MD,NA,NA,21800000,22900000,22005000
baltimore police department,MD,4.1e+08,444183791,536376477,549959519,555100000
van buren police department,ME,NA,NA,NA,NA,116000
portland police department,ME,13662981,NA,1.6e+07,17500000,17230000
wilton police department,ME,NA,NA,508066,540405,NA
bucksport police department,ME,NA,NA,522745,529728,528000
southwest harbor police department,ME,NA,715000,822036,838813,NA
augusta police department,ME,NA,NA,5400000,5500000,5853000
gardiner police department,ME,903662,NA,1165305,1254451,1254000
hallowell police department,ME,NA,NA,NA,NA,NA
winthrop police department,ME,NA,NA,762532,796434,711000
clinton police department,ME,NA,248000,320817,318027,279000
rockland police department,ME,1994000,NA,2142631,2177458,2080000
boothbay harbor police department,ME,NA,NA,NA,NA,805000
waldoboro police department,ME,NA,NA,NA,NA,NA
mexico police department,ME,NA,421400,485787,511104,NA
hampden police department,ME,NA,NA,1126570,1239838,NA
millinocket police department,ME,NA,359893,NA,NA,407000
holden police department,ME,NA,NA,NA,NA,67000
pittsfield police department,ME,NA,NA,NA,NA,501000
calais police department,ME,NA,NA,NA,NA,NA
eastport police department,ME,NA,NA,NA,NA,NA
baileyville police department,ME,NA,NA,359000,359000,NA
kittery police department,ME,NA,2864681,2328280,2341806,2433000
berwick police department,ME,NA,NA,1698814,1947125,1892000
north berwick police department,ME,NA,NA,950000,985000,NA
ogunquit police department,ME,NA,NA,NA,NA,1711000
buxton police department,ME,NA,NA,1169899,1246965,1176000
otsego police department,MI,NA,762110,840000,850000,857000
central lake police department,MI,NA,NA,89508,92000,101000
barry township police department,MI,NA,NA,225000,240000,227690
hastings police department,MI,NA,NA,NA,NA,1780000
hampton township police department,MI,NA,NA,881150,890440,964970
frankfort police department,MI,NA,NA,345852,362111,373710
barodalake township police department,MI,NA,NA,821000,889000,235440
benton harbor police department,MI,NA,NA,2200000,2200000,1950
saint joseph police department,MI,3800000,NA,4100000,4300000,1800000
three oaks police department,MI,NA,NA,NA,NA,227000
bronson police department,MI,NA,NA,510000,520000,513930
battle creek police department,MI,NA,NA,1.8e+07,19300000,19024000
dewitt police department,MI,NA,NA,7474329,775427,3380000
grayling police department,MI,NA,NA,540663,657574,735000
eaton rapids police department,MI,NA,NA,1161660,1136152,1060000
city of potterville police department,MI,NA,NA,NA,NA,271560
flint police department,MI,21758778,1.1e+07,23380801,31112009,29659000
mount morris police department,MI,NA,NA,6e+05,6e+05,3730000
burton police department,MI,NA,NA,5826500,5868400,6e+06
grand blanc township police department,MI,NA,NA,7527371,7770328,7721000
montrose township police department,MI,NA,8e+05,707000,650000,804090
breckenridge police department,MI,NA,NA,150000,160000,138690
laurium police department,MI,NA,NA,390000,4e+05,393570
fairhaven township police department,MI,NA,108270,110000,110000,789200
pigeon police department,MI,NA,NA,165000,170000,159940
sebewaing police department,MI,NA,NA,369025,342000,334880
lansing police department,MI,33513551,37701800,43165282,45170051,4166000
mason police department,MI,NA,1400000,1498590,1599820,1507000
lansing township police department,MI,NA,1550000,1439524,1564720,1610000
jackson police department,MI,NA,8673580,10675846,11142429,9887000
kalamazoo department of public safety,MI,NA,NA,31946749,32524506,34088000
east grand rapids division of public safety and security,MI,NA,NA,5494000,5558000,0
grand rapids police department,MI,52547545,4.8e+07,56200108,55145968,54908000
sparta police department,MI,NA,691476,791745,803855,788160
wyoming police department,MI,NA,NA,17161437,17161437,14421000
metamora township police department,MI,506957,NA,547000,611000,525770
adrian township police department,MI,NA,NA,265000,260000,3810000
clinton police department,MI,NA,450000,545000,550000,2214000
raisin township police department,MI,NA,436722,491922,441922,419990
madison township police department,MI,265000,472739,542378,584670,550130
brighton police department,MI,NA,NA,3811837,3313300,3076000
mackinac island police department,MI,NA,NA,350000,340000,971990
center line public safety department,MI,NA,NA,4821384,4806021,0
fraser department of public safety,MI,NA,NA,7e+06,7e+06,0
roseville police department,MI,NA,NA,11500000,1.2e+07,11625000
sterling heights police department,MI,32380010,3.4e+07,3.5e+07,3.7e+07,34384000
warren police department,MI,3.6e+07,41918361,44805423,45803959,44691000
ishpeming police department,MI,NA,503544,6e+05,6e+05,811500
ishpeming township police department,MI,NA,NA,104000,104000,857000
ludington police department,MI,NA,NA,1008388,977500,1760000
midland police department,MI,NA,NA,9843871,10023060,9227000
monroe police department,MI,NA,NA,NA,NA,1242000
south rockwood police department,MI,NA,NA,375000,375000,351110
berkley department of public safety,MI,4148317,NA,3846369,3699340,549700
birmingham police department,MI,NA,NA,7680640,8043830,7363000
bloomfield township police department,MI,NA,NA,16789347,17726578,0
farmington division of public safety and security,MI,3750000,NA,4010777,4359829,0
farmington hills police department,MI,1.5e+07,19856611,21700000,22100000,20640000
lake angelus police department,MI,NA,NA,359455,371065,348080
oxford police department,MI,NA,NA,779415,779415,3200000
pleasant ridge police department,MI,733249,NA,1003005,1003005,NA
southfield police department,MI,24645965,NA,2.6e+07,26500000,28127000
troy police department,MI,19536473,24237560,NA,NA,27005000
reed city police department,MI,NA,NA,485000,490000,432140
gaylord police department,MI,NA,NA,NA,NA,1750000
zeeland police department,MI,NA,NA,1635704,1680129,1486000
richfield township department of public safety,MI,NA,3e+05,NA,NA,1290000
saginaw township police department,MI,NA,6540916,7001955,7245189,5178000
thomas township police department,MI,NA,NA,1102427,1109986,973230
constantine police department,MI,NA,NA,358112,389962,417000
sturgis police department,MI,NA,NA,2923760,2957355,2940000
white pigeon police department,MI,NA,NA,363675,366900,334300
croswell police department,MI,NA,NA,729977,726125,626000
lexington police department,MI,NA,NA,NA,NA,316750
laingsburg police department,MI,NA,NA,152623,153729,132700
morrice police department,MI,NA,NA,NA,NA,116140
perry police department,MI,NA,NA,420309,433024,472570
vernon police department,MI,NA,111000,85650,91300,817800
kingston police department,MI,NA,NA,64000,71000,103000
bangor police department,MI,NA,344500,450000,459000,56000
lawton police department,MI,NA,NA,220000,225000,366540
paw paw police department,MI,NA,NA,1100000,1155000,1090000
ann arbor police department,MI,24918785,26735219,29410860,30475172,29409000
milan police department,MI,NA,NA,NA,NA,2004000
saline police department,MI,2100000,NA,2443785,2366062,2240000
pittsfield township division of public safety and security,MI,NA,NA,7318404,7822500,5670000
dearborn police department,MI,37700000,37897489,4.4e+07,45534446,44870000
detroit police department,MI,267911971,310223891,330015742,328711027,3.41e+08
flat rock police department,MI,NA,NA,NA,NA,3223000
grosse pointe farms division of public safety and security,MI,NA,NA,4550000,4637000,4690000
inkster police department,MI,4e+06,NA,4e+06,4e+06,4880000
livonia police department,MI,21271540,22942875,24500000,25500000,22444000
river rouge police department,MI,NA,NA,2230000,2260000,1228000
riverview police department,MI,NA,NA,4500000,4600000,4308000
rockwood police department,MI,NA,NA,880000,9e+05,747710
taylor police department,MI,11582000,NA,10200000,10808000,10355000
trenton police department,MI,4009252,NA,4612884,4865703,4695000
huron township police department,MI,NA,NA,0,0,0
northville township department of public safety,MI,NA,NA,8860520,9861840,3110000
brownstown township police department,MI,NA,NA,5665812,5732271,5160000
lino lakes public safety department,MN,NA,NA,3976112,4142497,4304000
detroit lakes police department,MN,NA,NA,NA,NA,2422000
blackduck police department,MN,NA,NA,NA,NA,NA
sauk rapids police department,MN,1549900,NA,2445800,2456700,3252000
sleepy eye police department,MN,NA,NA,606700,713700,789000
lakeville police department,MN,8300000,NA,11561288,12428732,12095000
wells police department,MN,NA,NA,525000,545000,NA
