AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
rising sun police department,IN,NA,NA,1200000,1300000,869508
poseyville police department,IN,NA,91820,98000,98000,101765
winamac police department,IN,NA,NA,515745,515745,515745
new carlisle police department,IN,NA,NA,914552,847446,NA
hamlet police department,IN,NA,NA,165000,170000,NA
hamilton police department,IN,NA,NA,NA,NA,259650
orland police department,IN,NA,NA,NA,NA,10400
carlisle police department,IN,NA,NA,NA,NA,NA
windfall police department,IN,NA,NA,1000,1000,NA
chandler police department,IN,NA,NA,631851,767302,773802
elberfeld police department,IN,NA,NA,3000,6000,NA
chalmers police department,IN,NA,NA,32000,32825,39050
churubusco police department,IN,NA,450000,750000,750000,NA
ringgold police department,LA,NA,NA,321325,334075,NA
plain dealing police department,LA,NA,NA,NA,NA,NA
mooringsport police department,LA,NA,NA,22000,5000,29663
ida police department,LA,NA,NA,4000,4000,NA
chataignier police department,LA,NA,NA,NA,NA,NA
dry prong police department,LA,NA,32000,35000,35000,32867
fenton police department,LA,NA,240000,NA,NA,NA
choudrant police department,LA,NA,NA,91753,102416,NA
simsboro police department,LA,NA,NA,NA,NA,NA
boyce police department,LA,NA,NA,NA,NA,726147
greensburg police department,LA,NA,NA,325000,275525,NA
henderson police department,LA,NA,NA,882022,921372,NA
sibley police department,LA,NA,NA,180000,180000,NA
aitkin police department,MN,NA,NA,8e+05,855000,NA
rice police department,MN,NA,190000,2e+05,2e+05,NA
lake shore police department,MN,NA,NA,286000,294000,NA
pequot lakes police department,MN,NA,NA,679100,728040,NA
isanti police department,MN,NA,NA,1440000,1367000,NA
pelican rapids police department,MN,NA,NA,465386,431673,NA
starbuck police department,MN,NA,360462,5e+05,521000,NA
danube police department,MN,NA,NA,105000,110000,NA
arlington police department,MN,NA,NA,NA,NA,NA
enterprise police department,MS,NA,NA,NA,NA,NA
bolton police department,MS,NA,NA,1341643,1449877,NA
mize police department,MS,NA,NA,NA,NA,NA
tutwiler police department,MS,NA,NA,250000,250000,NA
tishomingo police department,MS,NA,NA,125000,135000,NA
metcalfe police department,MS,NA,NA,NA,NA,NA
mathiston police department,MS,NA,NA,2e+05,220000,NA
darby police department,MT,NA,NA,NA,NA,NA
cedar bluffs police department,NE,NA,NA,NA,NA,NA
bath police department,NH,NA,NA,89570,89570,NA
roy police department,NM,NA,NA,NA,NA,NA
belmont village police department,NY,"46,903","43,021",70000,77000,44073
millerton village police department,NY,"86,348","103,585",118809,114109,91851
muttontown village police department,NY,"1,634,591","1,889,765",2135256,2003784,2178684
somers town police department,NY,"771,549","718,696",7e+05,7e+05,908175
fairfield township police department,OH,NA,NA,3e+06,3e+06,NA
cuyahoga heights police department,OH,NA,NA,NA,NA,10006000
green township police department,OH,NA,NA,NA,NA,NA
danbury township police department,OH,NA,NA,NA,NA,NA
antwerp police department,OH,NA,NA,NA,NA,NA
garrettsville police department,OH,NA,NA,672300,843903,NA
edon police department,OH,NA,NA,169000,156000,NA
geronimo police department,OK,NA,NA,70000,70000,NA
custer city police department,OK,NA,NA,10500,122300,NA
alex police department,OK,NA,NA,15000,15000,NA
medford police department,OK,NA,175000,2e+05,2e+05,NA
pond creek police department,OK,NA,NA,133000,133000,NA
haworth police department,OK,NA,NA,10000,10000,NA
sportsmen acres police department,OK,NA,NA,NA,NA,NA
webbers falls police department,OK,NA,NA,3e+05,302000,NA
