AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
detroit police department,detroit,MI,NA,NA,13344195,14057972,341000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
dewey beach police department,dewey beach,DE,NA,NA,185000,185000,833000,https://policescorecard.org/
dewey county sheriff's office,taloga,OK,NA,NA,1407000,1510000,,
dewitt police department,dewitt,MI,NA,NA,NA,NA,3380000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
diamond city police department,diamond,AR,NA,NA,125253,204332,,
diamondville police department,diamondville,WY,NA,1300000,1278267,1295053,,
dickens county sheriff's office,dickens,TX,8310000,9100000,NA,NA,"329,979",https://www.co.dickens.tx.us/upload/page/1665/2021-2022%20Proposed%20County%20Budget.pdf
dickenson county sheriff's office,clintwood,VA,NA,NA,16930375,16915412,,
dickinson police department,dickinson,ND,NA,NA,9122670,9168607,5783000,https://policescorecard.org/
dickson police department,dickson,TN,NA,4649996,NA,NA,5086000,https://policescorecard.org/
dighton police department,dighton,MA,NA,NA,14379913,14771081,1564000,https://policescorecard.org/
dillingham department of public safety,dillingham,AK,35499023,43168288,44143885,46132174,1317000,https://policescorecard.org/
dinwiddie county sheriff's office,dinwiddie,VA,NA,6804012,7300000,7600000,6214000,https://policescorecard.org/
district heights police,district heights,MD,NA,NA,3272570,5284586,,
dobson police department,dobson,NC,NA,NA,NA,NA,0,https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
dodge city police department,dodge,KS,NA,NA,1e+05,1e+05,,
dodge county sheriff's office,mantorville,MN,NA,NA,NA,NA,,
dolgeville village police department,dolgeville,NY,NA,NA,350000,360000,,
dona ana county sheriff's office,las cruces,NM,NA,NA,NA,NA,,
donegal township police department,west alexander,PA,NA,NA,5400000,5400000,237171,https://dced.pa.gov/local-government/municipal-statistics/
doniphan police department,doniphan,MO,NA,NA,101000,103500,,
donley county sheriff's office,clarendon,TX,NA,108500,140000,145000,"426,907",https://www.co.donley.tx.us/upload/page/7990/image1077.pdf
dora police department,dora,AL,55867024,67900001,72330231,77342501,,
doral police department,doral,FL,NA,NA,3124577,3226870,,
dorchester county sheriff's office,summerville,SC,34395830,3.4e+07,46534881,48441547,13950000,https://policescorecard.org/
dothan police department,dothan,AL,NA,NA,NA,NA,22357000,https://policescorecard.org/
douglas county sheriff's office,castle rock,CO,NA,NA,1250195,1280353,56284000,https://policescorecard.org/
douglas county sheriff's office,douglasville,GA,NA,NA,4875826,5036782,16339000,https://georgiadata.org/
douglas county sheriff's office,omaha,NE,NA,NA,358950,326900,18042000,https://policescorecard.org/
douglas county sheriff's office,minden,NV,NA,NA,NA,NA,20322412,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_12493019/File/Finance/Finance_Budget/FY%2021-22/Douglas%20County%20Budget%20-%20State%20Format.pdf
douglas police department,douglas,AL,13896203,NA,NA,NA,210000,https://policescorecard.org/
douglas police department,douglas,GA,NA,NA,11421900,12201200,3700000,https://georgiadata.org/
douglass township police department,boyertown,PA,NA,NA,NA,NA,2324296,https://dced.pa.gov/local-government/municipal-statistics/
dover police department,dover,DE,NA,NA,8691239,8799563,18937000,https://policescorecard.org/
dover police department,dover,TN,NA,NA,8694402,9700000,,
downers grove police department,downers grove,IL,NA,NA,1929043,2266150,16649000,https://policescorecard.org/
downey police department,downey,CA,27305822,34635500,35280000,36600000,42976632,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
dry prong police department,dry prong,LA,NA,NA,4181210,4553210,32867,https://app.lla.la.gov/publicreports.nsf/0/259a36174cdc2ecf8625890a0056272b/$file/0000036d.pdf
dubach police department,dubach,LA,NA,NA,2348269,2927042,146355,https://app.lla.la.gov/publicreports.nsf/0/1eeae435472be35c862587d600673b7e/$file/00025ab6.pdf
dubuque police department,dubuque,IA,NA,NA,3942500,4199400,14743000,https://policescorecard.org/
duluth police department,duluth,MN,NA,NA,1200000,1300000,28688000,https://policescorecard.org/
dumas police department,dumas,TX,NA,NA,1809720,2173552,,
dumfries police department,dumfries,VA,NA,40000,56000,50000,2173000,https://policescorecard.org/
dundas police department,dundas,MN,NA,740000,793615,817423,,
dunlap police department,dunlap,IA,NA,NA,2e+05,2e+05,,
dunmore borough police department,dunmore borough,PA,NA,NA,2338000,2449160,2113108,https://dced.pa.gov/local-government/municipal-statistics/
dunnellon police department,dunnellon,FL,NA,NA,265000,285000,,
dupage county sheriff's office,wheaton,IL,NA,NA,3100000,3100000,23025000,https://policescorecard.org/
duquesne city police department,duquesne,PA,NA,9663800,9600000,1e+07,1079688,https://dced.pa.gov/local-government/municipal-statistics/
duquesne police department,joplin,MO,NA,NA,1e+06,1100000,47200,http://duquesnepa.us/budgets
durham county sheriff's office,durham,NC,NA,NA,8478101,8651005,28442000,https://policescorecard.org/
durham police department,durham,NC,NA,NA,NA,NA,68900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
dutchess county sheriff's office,poughkeepsie,NY,8e+06,NA,NA,NA,14860254,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
duval county sheriff's office,san diego,TX,NA,NA,NA,NA,2226000,https://policescorecard.org/
dyer county sheriff's office,dyersburg,TN,NA,NA,385000,390000,,
eagle butte police department,eagle butte,SD,15100000,18118163,18960889,19530881,,
eagle county sheriff's office,eagle,CO,NA,NA,344344,319093,8580000,https://policescorecard.org/
eagle police department,eagle,WI,NA,NA,798007,843340,,
eagle river police department,eagle river,WI,125950,NA,237070,222153,,
east bank police department,east bank,WV,20287717,26693683,28240407,28123700,,
east baton rouge parish sheriff's office,baton rouge,LA,NA,NA,1085700,1218900,,
east conemaugh borough police department,conemaugh,PA,NA,NA,525000,550000,171847,https://dced.pa.gov/local-government/municipal-statistics/
east dundee police department,east dundee,IL,NA,923601,977575,1087838,2572280,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
east ellijay police department,east ellijay,GA,NA,NA,1700000,1750000,"837,900",https://georgiadata.org/
east galesburg police department,east galesburg,IL,NA,6e+06,6800000,7e+06,896,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
east granby police department,east granby,CT,3500000,NA,2870799,2994180,,
east grand rapids division of public safety and security,grand rapids,MI,NA,NA,NA,NA,0,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
east hartford police department,east hartford,CT,NA,NA,809000,809000,17027000,https://policescorecard.org/
east kingston police department,east kingston,NH,NA,67293,NA,NA,,
east lyme police department,niantic,CT,NA,NA,1037650,985924,2687000,https://policescorecard.org/
east moline police department,east moline,IL,NA,150000,60000,60000,29056301,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
east norriton township police department,norristown,PA,NA,NA,NA,NA,3524600,https://dced.pa.gov/local-government/municipal-statistics/
east orange police,east orange,NJ,NA,27200726,25911032,26573482,24622000,https://policescorecard.org/
east palo alto police department,east palo alto,CA,NA,310000,808980,811580,11643800,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
east point police department,east point,GA,1e+06,NA,1200000,1300000,10924000,https://georgiadata.org/
east tawakoni police department,east tawakoni,TX,NA,NA,1787139,1679334,,
east troy village police department,east troy,WI,NA,NA,2e+05,250000,,
east windsor police department,hartford,CT,NA,NA,5090045,5237084,,
easton city police department,easton,PA,NA,NA,1905000,1996000,,
eastport police department,eastport,ME,NA,NA,NA,NA,,
eaton county sheriff's office,charlotte,MI,NA,1200000,1338865,1607436,9646000,https://policescorecard.org/
eaton rapids police department,eaton rapids,MI,NA,48565,NA,NA,1060000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
eau claire police department,eau claire,WI,3.7e+07,45500000,NA,NA,,
eclectic police department,eclectic,AL,NA,NA,NA,NA,,
ector county sheriff's office,odessa,TX,NA,NA,2900000,3100000,9189000,https://policescorecard.org/
edgecombe county sheriff's office,tarboro,NC,NA,NA,940000,940000,6495259,https://cms5.revize.com/revize/edgecombenc/Departments/Finance/FY-22%20Expenditure%20Budget%20-%20Final.pdf
edgewater police,edgewater,NJ,NA,NA,NA,NA,6464000,https://policescorecard.org/
edgewater police department,edgewater,CO,NA,NA,857250,859450,,
edina police department,edina,MO,NA,NA,95000,95000,,
edinburg police department,edinburg,TX,NA,NA,1e+05,1e+05,"24,958,764",https://cms7files.revize.com/edinburgtx/articles%20and%20events/2021-2022%20Final%20Fiscal%20Budget.pdf
edison police,edison,NJ,NA,NA,8e+06,8e+06,30596000,https://policescorecard.org/
edmond police department,edmond,OK,NA,NA,NA,NA,29678000,https://policescorecard.org/
edmunds county sheriff's office,ipswich,SD,NA,NA,NA,NA,,
edna police department,edna,TX,1500000,1500000,1523125,1847550,"1,155,016",https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4280/cityofedna/3527661/City_Budget_FY_2022-2023.pdf
edon police department,edon,OH,NA,NA,825200,828140,,
edwardsville police department,edwardsville,IL,NA,NA,568335,665935,6224000,https://policescorecard.org/
edwardsville police department,edwardsville,KS,NA,NA,24557113,28156990,2364000,https://policescorecard.org/
effingham police department,effingham,IL,NA,NA,7413100,7912000,"3,985,503",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
el cajon police department,el cajon,CA,3e+07,54629134,58710861,60039397,93427482,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
el campo police department,el campo,TX,11415400,NA,NA,NA,5880000,https://policescorecard.org/
el dorado county sheriff's office,placerville,CA,1800000,NA,2298200,2208350,37338919,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
el dorado police department,el dorado,AR,NA,NA,2375855,2426404,,
el mirage police department,el mirage,AZ,45833351,5.4e+07,60892000,64232000,8609000,https://policescorecard.org/
el monte police department,el monte,CA,NA,NA,NA,NA,34154831,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
el paso county sheriff's office,colorado springs,CO,1250254874,1384510306,1189748797,1033570821,95797000,https://policescorecard.org/
el paso county sheriff's office,el paso,TX,NA,NA,NA,NA,53227000,https://policescorecard.org/
el paso police department,el paso,TX,5.1e+07,NA,61246739,64939930,177000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
elberfeld police department,elberfeld,IN,NA,1748319,1796903,1802990,,
elberton police department,elberton,GA,9386732,10392754,10994952,11455265,1589000,https://georgiadata.org/
eldridge police department,eldridge,IA,8726440,10630523,NA,NA,1241000,https://policescorecard.org/
elgin police department,elgin,IL,3897464,NA,7223575,6348000,50200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
elizabeth borough police department,elizabeth borough,PA,2871461,NA,NA,NA,307224,https://dced.pa.gov/local-government/municipal-statistics/
elizabeth city police department,elizabeth,NC,NA,NA,9e+06,9e+06,"7,883,429",https://npr.brightspotcdn.com/8e/f0/595051f446099972b9263cd7aa87/elizabeth-city-fy2021-audit.pdf
elizabeth police,elizabeth,NJ,NA,NA,NA,NA,46892000,https://policescorecard.org/
elizabeth police department,elizabeth,IL,NA,NA,NA,NA,"91,702",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
elizabethtown police department,elizabethtown,KY,NA,NA,605800,622000,4622000,https://policescorecard.org/
elk city police department,elk,OK,17799051,19217310,23141150,25323000,,
elk grove police department,elk grove,CA,NA,13717856,16619322,17399583,48279342,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
elk point police department,elk point,SD,NA,NA,6255568,6727147,265000,https://policescorecard.org/
elkhart police department,elkhart,IN,NA,NA,3066502,3408967,17448000,https://policescorecard.org/
ellenville village police department,ellenville,NY,NA,NA,1980280,1980280,"1,306,159",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
ellsworth police department,ellsworth,IA,NA,NA,3e+05,3e+05,,
ellsworth police department,ellsworth,WI,NA,NA,5070397,5277710,,
elm grove police department,elm grove,WI,870000,949688,1e+06,1e+06,,
elmore county sheriff's office,mountain home,ID,439000,NA,NA,NA,3171000,https://policescorecard.org/
elroy police department,elroy,WI,NA,NA,2500000,2500000,,
elwood police department,elwood,KS,1.7e+07,12891280,12570992,12341570,,
emerald isle police department,emerald isle,NC,2.4e+07,2.5e+07,NA,NA,"2,100,197",https://www.emeraldisle-nc.org/ArchiveCenter/ViewFile/Item/59
eminence police department,eminence,MO,NA,NA,3500000,3347430,,
emmetsburg police department,emmetsburg,IA,NA,NA,598300,598300,688000,https://policescorecard.org/
enchanted oaks police department,mabank,TX,NA,NA,239575,224745,,
england police department,england,AR,NA,NA,385000,390000,,
enigma police department,enigma,GA,NA,NA,723226,745595,,
enterprise police department,enterprise,MS,11480291,12092863,11965351,12951935,,
enterprise police department,enterprise,OR,249236,NA,50000,50000,,
ephrata police department,ephrata,PA,11001222,12795981,NA,NA,6950699,https://dced.pa.gov/local-government/municipal-statistics/
erath police department,erath,LA,NA,NA,4608943,4805123,798833,https://app.lla.la.gov/publicreports.nsf/0/bf0fffed4ffbfdff862587b900572e64/$file/00025654.pdf
erie city police department,erie,PA,NA,NA,3436125,3545300,7381183,https://dced.pa.gov/local-government/municipal-statistics/
erie county sheriff's office,buffalo,NY,NA,NA,1300000,1300000,"32,202,915",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
erie police department,erie,KS,NA,NA,NA,NA,207000,https://policescorecard.org/
escambia county sheriff's office,pensacola,FL,11428229,10682404,12180000,12650000,61667000,https://policescorecard.org/
escondido police department,escondido,CA,31370703,32849736,NA,NA,47329761,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
essex county sheriff's office,newark,NJ,NA,1956200,2429900,2548400,,
estelline police department,estelline,TX,14021750,16839500,19090000,19514100,,
estes park police department,estes park,CO,861538,NA,NA,NA,5315000,https://policescorecard.org/
ethridge police department,ethridge,TN,31980986,33605876,33816076,36738194,,
eugene police department,eugene,OR,NA,NA,586628,600859,63660000,https://policescorecard.org/
euharlee police department,euharlee,GA,10401007,12402017,1.4e+07,14500000,,
eunice police department,eunice,LA,NA,NA,180000,180000,1556000,https://policescorecard.org/
eureka county sheriff's office,eureka,NV,233065051,NA,233043194,225685143,3151000,https://policescorecard.org/
eustis police department,eustis,FL,NA,NA,1340387,1409918,,
evansdale police department,evansdale,IA,NA,NA,84773,85004,,
evanston police department,evanston,IL,NA,NA,4e+05,4e+05,38746000,https://policescorecard.org/
evansville police department,evansville,IN,490000,NA,485850,536025,29356000,https://policescorecard.org/
evarts police department,evarts,KY,NA,NA,NA,NA,,
everett police department,everett,MA,NA,NA,761225,760717,14720000,https://policescorecard.org/
everett police department,everett,WA,7e+05,NA,864452,912167,37727000,https://policescorecard.org/
everman police department,everman,TX,NA,NA,707600,670500,"1,636,737",http://www.evermantx.us/Financial%20Reports/2022%20Adopted%20Budget%20Final.pdf
fair bluff police department,fair bluff,NC,NA,NA,140000,140000,"215,610",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
fairfax county police department,fairfax,VA,NA,NA,80000,80000,279761000,https://policescorecard.org/
fairfax police department,fairfax,OK,NA,200541,180000,185000,,
fairfield bay police department,fairfield bay,AR,NA,NA,285000,275000,,
fairfield county sheriff's office,lancaster,OH,1.6e+07,18963536,24639000,27879000,17665000,https://policescorecard.org/
fairfield police department,fairfield,AL,NA,NA,261000,279000,2802000,https://policescorecard.org/
fairfield police department,fairfield,CA,NA,5200000,5443700,5800000,51308336,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
fairfield police department,long hill (fairfield),CT,NA,NA,5100000,5269646,18504000,https://policescorecard.org/
fairfield police department,fairfield,IL,21806788,24600000,29067583,31047851,"1,520,451",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
fairfield police department,fairfield,TX,30924932,34721799,39644150,40044237,"1,028,223",https://www.fairfieldtexas.com/sites/g/files/vyhlif5371/f/uploads/2021-22adoptedbudgetbook.pdf
fairfield township police department,hamilton,OH,NA,NA,1192174,1173735,,
fairhaven township police department,bay port,MI,1300000,NA,1e+06,1200000,789200,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
fairmont police department,fairmont,NC,2431412,NA,2915420,3038782,"951,934",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
fairmount police department,fairmount,GA,NA,NA,86200,82000,,
fairmount police department,fairmount,IN,NA,NA,81000,89000,,
fairview police department,fairview,TX,NA,NA,2600000,2600000,"2,512,437",https://fairviewtexas.org/pdf/AuditBudget/Proposed-for-Website-04.pdf
fall river county sheriff's office,hot springs,SD,341885,NA,NA,NA,,
fall river police department,fall river,MA,NA,179821,NA,NA,22579000,https://policescorecard.org/
falls city police department,falls,NE,NA,NA,785000,785000,1014000,https://policescorecard.org/
falls township police department,fairless hills,PA,NA,NA,93023,98700,12737836,https://dced.pa.gov/local-government/municipal-statistics/
far hills police,far hills,NJ,NA,NA,282860,306760,,
fargo police department,fargo,ND,NA,NA,826837,863067,23350000,https://policescorecard.org/
farmington city police department,farmington,UT,75454073,82152162,89740122,92669548,2318000,https://policescorecard.org/
farmington division of public safety and security,farmington,MI,NA,924450,1135500,1175711,0,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
farmington hills police department,farmington hills,MI,NA,NA,NA,NA,20640000,https://policescorecard.org/
farmington police department,hartford,CT,NA,NA,2e+05,204000,7701000,https://policescorecard.org/
farmington police department,farmington,NM,NA,NA,4200000,4300000,17218000,https://policescorecard.org/
farmington police department,farmington,WV,26515252,37647372,40191451,40949962,,
faulk county sheriff's office,faulkton,SD,NA,NA,NA,NA,304000,https://policescorecard.org/
fauquier county sheriff's office,warrenton,VA,NA,NA,NA,NA,18651000,https://policescorecard.org/
fayette county sheriff's office,fayetteville,GA,NA,NA,598696,616055,12772000,https://georgiadata.org/
fayette county sheriff's office,washington court house,OH,NA,NA,243500,243500,,
fayette police department,fayette,AL,NA,NA,1598378,1700000,,
fayette police department,fayette,IA,NA,NA,482563,508435,,
fayette police department,fayette,OH,NA,NA,NA,NA,,
fayetteville police department,fayetteville,AR,NA,924500,970789,992079,16682538,https://www.fayetteville-ar.gov/ArchiveCenter/ViewFile/Item/2221
fayetteville police department,fayetteville,NC,NA,NA,NA,NA,56500000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
federal way police department,federal way,WA,50109247,5.3e+07,60653745,59844806,24483000,https://policescorecard.org/
fenton police department,fenton,LA,NA,NA,2133000,2286089,,
ferguson police department,ferguson,MO,NA,NA,NA,NA,4109000,https://policescorecard.org/
fife police department,fife,WA,NA,NA,NA,NA,6575000,https://policescorecard.org/
findlay police department,findlay,IL,NA,NA,NA,NA,"71,026",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
fircrest police department,fircrest,WA,NA,NA,120460,115110,,
fishers police department,fishers,IN,7.7e+07,65788140,79504548,79640136,16538000,https://policescorecard.org/
flagler county sheriff's office,bunnell,FL,NA,NA,NA,NA,20976000,https://policescorecard.org/
flagstaff police department,flagstaff,AZ,739276,NA,NA,NA,21331000,https://policescorecard.org/
flat rock police department,flat rock,MI,NA,NA,2e+05,2e+05,3223000,https://policescorecard.org/
flatonia police department,flatonia,TX,NA,NA,NA,NA,"909,457",https://www.flatoniatx.gov/page/open/1507/0/2021-22_Annual_Budget.pdf
fleming county sheriff's office,flemingsburg,KY,NA,NA,NA,NA,,
flint police department,flint,MI,NA,NA,NA,NA,29659000,https://policescorecard.org/
flora police department,flora,IN,295000,NA,NA,NA,503500,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
florence county sheriff's office,florence,SC,NA,NA,323300,323330,16615000,https://policescorecard.org/
florence police department,florence,AL,NA,6083441,7200000,7200000,11570000,https://policescorecard.org/
florence police department,florence,CO,240000,NA,160000,109540,,
florence police department,florence,MS,162700976,170712300,186728500,190578200,1202000,https://policescorecard.org/
florence police department,florence,SC,NA,665132,5e+05,5e+05,8895000,https://policescorecard.org/
florida city police department,florida,FL,1.4e+07,12645476,15817928,16514126,,
floyd county police department,rome,GA,NA,1386091,1333333,1333333,6547705,https://georgiadata.org/
foard county sheriff's office,crowell,TX,NA,NA,32000,34000,"160,869",https://www.foardcounty.texas.gov/upload/page/9968/docs/20212022%20Foard%20County%20Budget.pdf
fontana police department,fontana,CA,NA,NA,NA,NA,97126798,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
fontana police department,fontana-on-geneva lake,WI,NA,NA,NA,NA,,
fordyce police department,fordyce,AR,NA,NA,802438,806436,,
forest hill police department,forest hill,TX,450000,NA,425000,465000,,
forest park police department,forest park,GA,NA,NA,5e+06,5e+06,7652000,https://georgiadata.org/
forest park police department,forest park,IL,NA,NA,NA,NA,0,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
forks police department,forks,WA,NA,NA,5800000,5e+06,,
forks township police department,easton,PA,NA,NA,NA,NA,3707652,https://dced.pa.gov/local-government/municipal-statistics/
forsyth county sheriff's office,cumming,GA,NA,NA,15107557,17796584,49624000,https://georgiadata.org/
forsyth county sheriff's office,winston-salem,NC,NA,987000,NA,NA,33692000,https://policescorecard.org/
fort atkinson police department,fort atkinson,WI,NA,NA,3379073,3556420,,
fort bend county sheriff's office,richmond,TX,NA,899459,1062108,656730,54536000,https://policescorecard.org/
fort collins police services,fort collins,CO,NA,NA,393200,425255,54986000,https://policescorecard.org/
fort dodge police department,fort dodge,IA,NA,NA,150000,150000,4986000,https://policescorecard.org/
fort lauderdale police department,fort lauderdale,FL,NA,NA,3052800,3065600,118976000,https://policescorecard.org/
fort loramie police department,fort loramie,OH,18735791,18320852,20866861,20981826,,
fort morgan police department,fort morgan,CO,55134500,59251700,59966400,60588900,3503000,https://policescorecard.org/
fort myers police department,fort myers,FL,NA,NA,985400,985400,56721000,https://policescorecard.org/
fort pierce police department,fort pierce,FL,16400000,18222000,2.1e+07,21500000,15853000,https://policescorecard.org/
fort smith police department,fort smith,AR,NA,NA,NA,NA,,
fort valley police department,fort valley,GA,84402820,8.6e+07,93530380,93530380,2325000,https://georgiadata.org/
fort wayne police department,fort wayne,IN,NA,NA,557705,557705,58525000,https://policescorecard.org/
fort worth police department,fort worth,TX,NA,NA,333000,NA,282500000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
fortville police department,fortville,IN,NA,NA,9600000,9600000,565622,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
fountain inn police department,fountain inn,SC,16800000,17614755,18768406,18845338,2281000,https://policescorecard.org/
fowler township police department,fowler,OH,NA,NA,2e+06,2300000,,
fox river grove police department,fox river grove,IL,2.7e+07,3.3e+07,35331489,36076394,"2,358,927",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
foxboro police department,foxboro,MA,NA,NA,NA,NA,4670000,https://policescorecard.org/
framingham police department,framingham,MA,NA,NA,171905,189710,,
frankfort police department,frankfort,IL,NA,NA,602000,630000,"7,133,159",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
frankfort police department,frankfort,MI,NA,NA,2525100,2726000,373710,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
franklin borough police,franklin borough,NJ,NA,NA,222626,191639,2034000,https://policescorecard.org/
franklin county sheriff's office,preston,ID,13373071,12928313,12499796,12739390,2116000,https://policescorecard.org/
franklin county sheriff's office,frankfort,KY,17847227,17696336,18917000,18140000,2111000,https://policescorecard.org/
franklin county sheriff's office,union,MO,NA,NA,293000,320000,9750000,https://policescorecard.org/
franklin county sheriff's office,franklin,NE,NA,NA,299950,249550,,
franklin county sheriff's office,louisburg,NC,2100000,NA,2480200,2656500,1559000,https://policescorecard.org/
franklin county sheriff's office,columbus,OH,NA,NA,5281113,6096206,177062000,https://policescorecard.org/
franklin county sheriff's office,st. albans,VT,NA,NA,375000,375000,,
franklin county sheriff's office,russellville,AL,NA,NA,NA,NA,5229000,https://policescorecard.org/
franklin parish sheriff's office,winnsboro,LA,NA,NA,NA,NA,,
franklin police department,franklin town,MA,NA,NA,180000,180000,5631000,https://policescorecard.org/
franklin police department,franklin,NH,NA,NA,7627452,7715426,3288000,https://policescorecard.org/
franklin police department,franklin,TN,7008779,NA,9441686,10244943,16657000,https://policescorecard.org/
franklin township police,somerset,NJ,NA,NA,NA,NA,14467000,https://policescorecard.org/
franklin township police department,columbus,OH,NA,NA,10487009,10548577,,
franklinton police department,franklinton,LA,NA,NA,628732,651983,2861400,https://app.lla.la.gov/publicreports.nsf/0/35cfda30e6bcd4e8862589ff005b2a10/$file/0000245f.pdf
franklinton police department,franklinton,NC,NA,NA,NA,NA,"759,103",https://cms9files.revize.com/franklincountync/Finance/Audits/Annual%20Comprehensive%20Financial%20Report%202021.pdf
franklinville village police department,franklinville,NY,NA,NA,3e+06,3316694,"189,846",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
fraser department of public safety,fraser,MI,128528462,NA,212420440,218165630,0,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
fraser winter park police department,winter park,CO,NA,13192241,15342667,14808836,,
frederick city police,frederick,MD,NA,NA,2538928,2703784,34285000,https://policescorecard.org/
frederick county sheriff's office,frederick,MD,NA,NA,2883671,3169139,46029000,https://policescorecard.org/
frederick county sheriff's office,winchester,VA,NA,NA,1310000,1380000,17848000,https://policescorecard.org/
fredonia marshal's office,fredonia,AZ,NA,NA,1476347,1672634,,
fredonia police department,fredonia,KS,15954000,2.5e+07,NA,NA,,
freeburg police department,freeburg,IL,22245881,24577053,26041576,25527814,"1,249,040",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
freehold borough police department,freehold borough,NJ,NA,NA,4400000,4500000,,
freeland borough police department,freeland borough,PA,11547172,13377670,NA,NA,218294,https://dced.pa.gov/local-government/municipal-statistics/
freeport police department,freeport,TX,985113,NA,1207703,1206124,4528000,https://policescorecard.org/
freeport village police department,freeport,NY,1400000,NA,1267297,1284835,"21,179,408",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
